#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
655981,24567069,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Geomyces destructans).,other,-,-,-,-,20181203,-
655981,36290557,VC83_07512,VC83_07512,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290558,WC2,VC83_07513,-,-,Unknown,-,blue light receptor,protein-coding,-,-,-,blue light receptor,20200909,-
655981,36290559,RAD50,VC83_07514,-,-,Unknown,-,DNA repair protein,protein-coding,-,-,-,DNA repair protein,20200909,-
655981,36290560,VC83_07515,VC83_07515,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290561,VC83_07516,VC83_07516,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290562,VC83_07517,VC83_07517,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290563,VC83_07518,VC83_07518,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290564,VC83_07519,VC83_07519,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290565,VC83_07520,VC83_07520,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290566,VC83_07521,VC83_07521,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290567,VC83_07522,VC83_07522,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290568,VC83_07523,VC83_07523,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290569,VC83_07524,VC83_07524,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290570,VC83_07525,VC83_07525,-,-,Unknown,-,tRNA,tRNA,-,-,-,-,20200909,-
655981,36290571,VC83_07526,VC83_07526,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290572,VC83_07527,VC83_07527,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290573,VC83_07528,VC83_07528,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290574,VC83_07529,VC83_07529,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290575,VC83_07530,VC83_07530,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290576,VC83_07531,VC83_07531,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290577,VC83_07532,VC83_07532,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290578,VC83_07533,VC83_07533,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290579,THG1,VC83_07534,-,-,Unknown,-,tRNA-His guanylyltransferase,protein-coding,-,-,-,tRNA-His guanylyltransferase,20200909,-
655981,36290580,LYS1_2,VC83_07535,-,-,Unknown,-,Saccharopine dehydrogenase,protein-coding,-,-,-,Saccharopine dehydrogenase,20200909,-
655981,36290581,VC83_07536,VC83_07536,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290582,VC83_07537,VC83_07537,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290583,VC83_07538,VC83_07538,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290584,VC83_07539,VC83_07539,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290585,VC83_07540,VC83_07540,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290586,VC83_07541,VC83_07541,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290587,VC83_07542,VC83_07542,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290588,VC83_07543,VC83_07543,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290589,RCO3,VC83_07544,-,-,Unknown,-,glucose transporter,protein-coding,-,-,-,glucose transporter,20200909,-
655981,36290590,VC83_07545,VC83_07545,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290591,VC83_07546,VC83_07546,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290592,VC83_07547,VC83_07547,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290593,VC83_07548,VC83_07548,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290594,PEX13,VC83_07549,-,-,Unknown,-,Peroxisomal membrane protein PAS20,protein-coding,-,-,-,Peroxisomal membrane protein PAS20,20200909,-
655981,36290595,VC83_07550,VC83_07550,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290596,VC83_07551,VC83_07551,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290597,VC83_07552,VC83_07552,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290598,HMG1,VC83_07553,-,-,Unknown,-,3-hydroxy-3-methylglutaryl-coenzyme A (HMG-CoA) reductase isozyme,protein-coding,-,-,-,3-hydroxy-3-methylglutaryl-coenzyme A (HMG-CoA) reductase isozyme,20200909,-
655981,36290599,VC83_07554,VC83_07554,-,-,Unknown,-,tRNA,tRNA,-,-,-,-,20200909,-
655981,36290600,VC83_07555,VC83_07555,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290601,TOS1,VC83_07556,-,-,Unknown,-,target of Sbf,protein-coding,-,-,-,target of Sbf,20200909,-
655981,36290602,VC83_07557,VC83_07557,-,-,Unknown,-,tRNA,tRNA,-,-,-,-,20200909,-
655981,36290603,VC83_07558,VC83_07558,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290604,YAP1,VC83_07559,-,-,Unknown,-,DNA-binding transcription factor yap1,protein-coding,-,-,-,DNA-binding transcription factor yap1,20200909,-
655981,36290605,VC83_07560,VC83_07560,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290606,VC83_07561,VC83_07561,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290607,VC83_07562,VC83_07562,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290608,VC83_07563,VC83_07563,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290609,VC83_07564,VC83_07564,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290610,VC83_07565,VC83_07565,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290611,VC83_07566,VC83_07566,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290612,VC83_07567,VC83_07567,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290613,VC83_07568,VC83_07568,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290614,VC83_07569,VC83_07569,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290615,VC83_07570,VC83_07570,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290616,VC83_07571,VC83_07571,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290617,VC83_07572,VC83_07572,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290618,VC83_07573,VC83_07573,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290619,VC83_07574,VC83_07574,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290620,VC83_07575,VC83_07575,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290621,VC83_07576,VC83_07576,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290622,VC83_07577,VC83_07577,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290623,VC83_07578,VC83_07578,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290624,VC83_07579,VC83_07579,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290625,VC83_07580,VC83_07580,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290626,VC83_07581,VC83_07581,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290627,VC83_07582,VC83_07582,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290628,VC83_07583,VC83_07583,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290629,VC83_07584,VC83_07584,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290630,VC83_07585,VC83_07585,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290631,VC83_07586,VC83_07586,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290632,VC83_07587,VC83_07587,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290633,VC83_07588,VC83_07588,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290634,VC83_07589,VC83_07589,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290635,VC83_07590,VC83_07590,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290636,VC83_07591,VC83_07591,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290637,VC83_07592,VC83_07592,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290638,VC83_07593,VC83_07593,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290639,VC83_07594,VC83_07594,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290640,VC83_07595,VC83_07595,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290641,VC83_07596,VC83_07596,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290642,VC83_07597,VC83_07597,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290643,VC83_07598,VC83_07598,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290644,VC83_07599,VC83_07599,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290645,VC83_07600,VC83_07600,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290646,VC83_07601,VC83_07601,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290647,VC83_07602,VC83_07602,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290648,VC83_07603,VC83_07603,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290649,VC83_07604,VC83_07604,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290650,RRP5,VC83_07605,-,-,Unknown,-,RNA binding protein,protein-coding,-,-,-,RNA binding protein,20200909,-
655981,36290651,VC83_07606,VC83_07606,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290652,DOT1,VC83_07607,-,-,Unknown,-,Nucleosomal histone H3-Lys79 methylase,protein-coding,-,-,-,Nucleosomal histone H3-Lys79 methylase,20200909,-
655981,36290653,VC83_07608,VC83_07608,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290654,VC83_07609,VC83_07609,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290655,VC83_07610,VC83_07610,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290656,SPB1,VC83_07611,-,-,Unknown,-,AdoMet-dependent rRNA methyltransferase spb1,protein-coding,-,-,-,AdoMet-dependent rRNA methyltransferase spb1,20200909,-
655981,36290657,VC83_07612,VC83_07612,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290658,VC83_07613,VC83_07613,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290659,VC83_07614,VC83_07614,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290660,VC83_07615,VC83_07615,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290661,LIG4_2,VC83_07616,-,-,Unknown,-,DNA ligase (ATP),protein-coding,-,-,-,DNA ligase (ATP),20200909,-
655981,36290662,VC83_07617,VC83_07617,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290663,PTC1,VC83_07618,-,-,Unknown,-,Protein phosphatase 2C 1,protein-coding,-,-,-,Protein phosphatase 2C 1,20200909,-
655981,36290664,VC83_07619,VC83_07619,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290665,VC83_07620,VC83_07620,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290666,VC83_07621,VC83_07621,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290667,VC83_07622,VC83_07622,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290668,VC83_07623,VC83_07623,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290669,TOM22,VC83_07624,-,-,Unknown,-,mitochondrial import receptor protein,protein-coding,-,-,-,mitochondrial import receptor protein,20200909,-
655981,36290670,VC83_07625,VC83_07625,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290671,VC83_07626,VC83_07626,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290672,FZO1,VC83_07627,-,-,Unknown,-,mitofusin,protein-coding,-,-,-,mitofusin,20200909,-
655981,36290673,DID4,VC83_07628,-,-,Unknown,-,ESCRT-III subunit protein did4,protein-coding,-,-,-,ESCRT-III subunit protein did4,20200909,-
655981,36290674,VC83_07629,VC83_07629,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290675,UFD4,VC83_07630,-,-,Unknown,-,Ubiquitin fusion degradation protein 4,protein-coding,-,-,-,Ubiquitin fusion degradation protein 4,20200909,-
655981,36290676,VC83_07631,VC83_07631,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290677,VC83_07632,VC83_07632,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290678,COQ5,VC83_07633,-,-,Unknown,-,"2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase",protein-coding,-,-,-,"2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase",20200909,-
655981,36290679,VC83_07634,VC83_07634,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290680,GEM1,VC83_07635,-,-,Unknown,-,ERMES complex Ca(2+)-binding regulatory GTPase gem1,protein-coding,-,-,-,ERMES complex Ca(2+)-binding regulatory GTPase gem1,20200909,-
655981,36290681,VC83_07636,VC83_07636,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290682,VC83_07637,VC83_07637,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290683,HBS1,VC83_07638,-,-,Unknown,-,"Hsp70 suppressor, GTPase facilitates ribosomal subunit dissociation",protein-coding,-,-,-,"Hsp70 suppressor, GTPase facilitates ribosomal subunit dissociation",20200909,-
655981,36290684,KAR2,VC83_07640,-,-,Unknown,-,ATPase with role in protein import into the ER,protein-coding,-,-,-,ATPase with role in protein import into the ER,20200909,-
655981,36290685,VC83_07641,VC83_07641,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290686,VC83_07642,VC83_07642,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290687,VC83_07643,VC83_07643,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290688,VC83_07644,VC83_07644,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290689,VC83_07645,VC83_07645,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290690,VC83_07646,VC83_07646,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290691,VC83_07647,VC83_07647,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290692,VC83_07648,VC83_07648,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290693,VC83_07649,VC83_07649,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290694,VPS27,VC83_07650,-,-,Unknown,-,vacuolar protein sorting-associated protein hydrophilic protein,protein-coding,-,-,-,vacuolar protein sorting-associated protein hydrophilic protein,20200909,-
655981,36290695,VC83_07651,VC83_07651,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290696,GDA1,VC83_07652,-,-,Unknown,-,Guanosine-diphosphatase,protein-coding,-,-,-,Guanosine-diphosphatase,20200909,-
655981,36290697,VC83_07653,VC83_07653,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290698,KLP7,VC83_07654,-,-,Unknown,-,Kinesin,protein-coding,-,-,-,Kinesin,20200909,-
655981,36290699,VC83_07655,VC83_07655,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290700,RPS29,VC83_07656,-,-,Unknown,-,40S ribosomal protein S29,protein-coding,-,-,-,40S ribosomal protein S29,20200909,-
655981,36290701,VC83_07657,VC83_07657,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290702,TRS31,VC83_07658,-,-,Unknown,-,TRAPP subunit trs31,protein-coding,-,-,-,TRAPP subunit trs31,20200909,-
655981,36290703,VC83_07659,VC83_07659,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290704,POL12,VC83_07660,-,-,Unknown,-,DNA-directed DNA polymerase alpha subunit pol12,protein-coding,-,-,-,DNA-directed DNA polymerase alpha subunit pol12,20200909,-
655981,36290705,VC83_07661,VC83_07661,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290706,VC83_07662,VC83_07662,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290707,VC83_07663,VC83_07663,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290708,VC83_07664,VC83_07664,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290709,VC83_07665,VC83_07665,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290710,GLO2_1,VC83_07666,-,-,Unknown,-,Cytoplasmic glyoxalase II,protein-coding,-,-,-,Cytoplasmic glyoxalase II,20200909,-
655981,36290711,VC83_07667,VC83_07667,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290712,VC83_07668,VC83_07668,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290713,VC83_07669,VC83_07669,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290714,VC83_07670,VC83_07670,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290715,VC83_07671,VC83_07671,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290716,LAS1,VC83_07672,-,-,Unknown,-,rRNA-processing protein las1,protein-coding,-,-,-,rRNA-processing protein las1,20200909,-
655981,36290717,GLO2_2,VC83_07673,-,-,Unknown,-,Cytoplasmic glyoxalase II,protein-coding,-,-,-,Cytoplasmic glyoxalase II,20200909,-
655981,36290718,VC83_07674,VC83_07674,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290719,VC83_07675,VC83_07675,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290720,TUF1,VC83_07676,-,-,Unknown,-,translation elongation factor Tu,protein-coding,-,-,-,translation elongation factor Tu,20200909,-
655981,36290721,VC83_07677,VC83_07677,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290722,VC83_07678,VC83_07678,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290723,VAC8,VC83_07679,-,-,Unknown,-,Vacuolar protein 8,protein-coding,-,-,-,Vacuolar protein 8,20200909,-
655981,36290724,SNF4,VC83_07680,-,-,Unknown,-,AMP-activated serine/threonine-protein kinase regulatory subunit,protein-coding,-,-,-,AMP-activated serine/threonine-protein kinase regulatory subunit,20200909,-
655981,36290725,VC83_07681,VC83_07681,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290726,YML6,VC83_07682,-,-,Unknown,-,"54S ribosomal protein, mitochondrial",protein-coding,-,-,-,"54S ribosomal protein, mitochondrial",20200909,-
655981,36290727,VC83_07683,VC83_07683,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290728,VC83_07684,VC83_07684,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290729,VC83_07685,VC83_07685,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290730,VC83_07686,VC83_07686,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290731,VC83_07687,VC83_07687,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290732,CSL4,VC83_07688,-,-,Unknown,-,exosome 3'->5 exonuclease subunit ski4 (Csl4),protein-coding,-,-,-,exosome 3'->5 exonuclease subunit ski4 (Csl4),20200909,-
655981,36290733,VC83_07689,VC83_07689,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290734,SMD2,VC83_07690,-,-,Unknown,-,mRNA splicing protein,protein-coding,-,-,-,mRNA splicing protein,20200909,-
655981,36290735,VC83_07691,VC83_07691,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290736,VC83_07692,VC83_07692,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290737,VC83_07693,VC83_07693,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290738,VC83_07694,VC83_07694,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290739,KRS1,VC83_07695,-,-,Unknown,-,lysyl-tRNA synthetase,protein-coding,-,-,-,lysyl-tRNA synthetase,20200909,-
655981,36290740,COX15,VC83_07696,-,-,Unknown,-,"protein required for the hydroxylation of heme O to form heme A, cox15",protein-coding,-,-,-,"protein required for the hydroxylation of heme O to form heme A, cox15",20200909,-
655981,36290741,VC83_07697,VC83_07697,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290742,VC83_07698,VC83_07698,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290743,VC83_07699,VC83_07699,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290744,VC83_07700,VC83_07700,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290745,VC83_07701,VC83_07701,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290746,ABD1,VC83_07702,-,-,Unknown,-,mRNA cap guanine-N7 methyltransferase,protein-coding,-,-,-,mRNA cap guanine-N7 methyltransferase,20200909,-
655981,36290747,VC83_07703,VC83_07703,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290748,VC83_07704,VC83_07704,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290749,VC83_07705,VC83_07705,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290750,VC83_07706,VC83_07706,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290751,VC83_07707,VC83_07707,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290752,VC83_07708,VC83_07708,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290753,VC83_07709,VC83_07709,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290754,VC83_07710,VC83_07710,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290755,VC83_07711,VC83_07711,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36290756,VC83_07712,VC83_07712,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
