#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
29519,3293299,NEWENTRY,-,-,-,-,-,"Record to support submission of GeneRIFs for a gene not in Gene (Borrelia garinii; Borrelia genomic group 20047.  Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).",other,-,-,-,-,20210405,-
29519,64198356,pstA,DB281_RS01075,DB281_01075,-,-,-,phosphate ABC transporter permease PstA,protein-coding,-,-,-,phosphate ABC transporter permease PstA,20210423,-
29519,64198357,DB281_RS01080,DB281_RS01080,DB281_01080,-,-,-,phosphate ABC transporter ATP-binding protein,protein-coding,-,-,-,phosphate ABC transporter ATP-binding protein,20210423,-
29519,64198358,DB281_RS01085,DB281_RS01085,DB281_01085,-,-,-,ZIP family metal transporter,protein-coding,-,-,-,ZIP family metal transporter,20210423,-
29519,64198359,DB281_RS01090,DB281_RS01090,DB281_01090,-,-,-,alanine--tRNA ligase,protein-coding,-,-,-,alanine--tRNA ligase,20210423,-
29519,64198360,DB281_RS01095,DB281_RS01095,DB281_01095,-,-,-,flagellar motor switch protein FliG,protein-coding,-,-,-,flagellar motor switch protein FliG,20210423,-
29519,64198361,DB281_RS01100,DB281_RS01100,DB281_01100,-,-,-,6-phosphogluconolactonase,protein-coding,-,-,-,6-phosphogluconolactonase,20210423,-
29519,64198362,DB281_RS01105,DB281_RS01105,DB281_01105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
29519,64198363,dusA,DB281_RS01110,DB281_01110,-,-,-,tRNA dihydrouridine(20/20a) synthase DusA,protein-coding,-,-,-,tRNA dihydrouridine(20/20a) synthase DusA,20210423,-
29519,64198364,serS,DB281_RS01115,DB281_01115,-,-,-,serine--tRNA ligase,protein-coding,-,-,-,serine--tRNA ligase,20210423,-
29519,64198365,DB281_RS01120,DB281_RS01120,DB281_01120,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
29519,64198366,DB281_RS01125,DB281_RS01125,DB281_01125,-,-,-,insulinase family protein,protein-coding,-,-,-,insulinase family protein,20210423,-
29519,64198367,DB281_RS01130,DB281_RS01130,DB281_01130,-,-,-,type B 50S ribosomal protein L31,protein-coding,-,-,-,type B 50S ribosomal protein L31,20210423,-
29519,64198368,rho,DB281_RS01135,DB281_01135,-,-,-,transcription termination factor Rho,protein-coding,-,-,-,transcription termination factor Rho,20210423,-
29519,64198369,DB281_RS01140,DB281_RS01140,DB281_01140,-,-,-,polymer-forming cytoskeletal protein,protein-coding,-,-,-,polymer-forming cytoskeletal protein,20210423,-
29519,64198370,DB281_RS01145,DB281_RS01145,DB281_01145,-,-,-,integration host factor subunit beta,protein-coding,-,-,-,integration host factor subunit beta,20210423,-
29519,64198371,DB281_RS01150,DB281_RS01150,DB281_01150,-,-,-,30S ribosomal protein S20,protein-coding,-,-,-,30S ribosomal protein S20,20210423,-
29519,64198372,DB281_RS01155,DB281_RS01155,DB281_01155,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,64198373,ychF,DB281_RS01160,DB281_01160,-,-,-,redox-regulated ATPase YchF,protein-coding,-,-,-,redox-regulated ATPase YchF,20210423,-
29519,64198374,DB281_RS01165,DB281_RS01165,DB281_01165,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
29519,64198375,lnt,DB281_RS01170,DB281_01170,-,-,-,apolipoprotein N-acyltransferase,protein-coding,-,-,-,apolipoprotein N-acyltransferase,20210423,-
29519,64198376,DB281_RS01175,DB281_RS01175,DB281_01175,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,64198377,DB281_RS01180,DB281_RS01180,DB281_01180,-,-,-,deoxynucleoside kinase,protein-coding,-,-,-,deoxynucleoside kinase,20210423,-
29519,64198378,DB281_RS01185,DB281_RS01185,DB281_01185,-,-,-,aquaporin family protein,protein-coding,-,-,-,aquaporin family protein,20210423,-
29519,64198379,glpK,DB281_RS01190,DB281_01190,-,-,-,glycerol kinase GlpK,protein-coding,-,-,-,glycerol kinase GlpK,20210423,-
29519,64198380,DB281_RS01195,DB281_RS01195,DB281_01195,-,-,-,glycerol-3-phosphate dehydrogenase/oxidase,protein-coding,-,-,-,glycerol-3-phosphate dehydrogenase/oxidase,20210423,-
29519,64198381,DB281_RS01200,DB281_RS01200,DB281_01200,-,-,-,DUF327 family protein,protein-coding,-,-,-,DUF327 family protein,20210423,-
29519,64198382,DB281_RS01205,DB281_RS01205,DB281_01205,-,-,-,polymer-forming cytoskeletal protein,protein-coding,-,-,-,polymer-forming cytoskeletal protein,20210423,-
29519,64198383,DB281_RS01210,DB281_RS01210,DB281_01210,-,-,-,peptidoglycan DD-metalloendopeptidase family protein,protein-coding,-,-,-,peptidoglycan DD-metalloendopeptidase family protein,20210423,-
29519,64198384,rdgB,DB281_RS01215,DB281_01215,-,-,-,RdgB/HAM1 family non-canonical purine NTP pyrophosphatase,protein-coding,-,-,-,RdgB/HAM1 family non-canonical purine NTP pyrophosphatase,20210423,-
29519,64198385,pepF,DB281_RS01220,DB281_01220,-,-,-,oligoendopeptidase F,protein-coding,-,-,-,oligoendopeptidase F,20210423,-
29519,64198386,DB281_RS01225,DB281_RS01225,DB281_01225,-,-,-,phosphatidylcholine/phosphatidylserine synthase,protein-coding,-,-,-,phosphatidylcholine/phosphatidylserine synthase,20210423,-
29519,64198387,DB281_RS01230,DB281_RS01230,DB281_01230,-,-,-,DedA family protein,protein-coding,-,-,-,DedA family protein,20210423,-
29519,64198388,DB281_RS01235,DB281_RS01235,DB281_01235,-,-,-,tRNA,tRNA,-,-,-,-,20210422,-
29519,64198389,leuS,DB281_RS01240,DB281_01240,-,-,-,leucine--tRNA ligase,protein-coding,-,-,-,leucine--tRNA ligase,20210423,-
29519,64198390,DB281_RS01245,DB281_RS01245,DB281_01245,-,-,-,RND family transporter,protein-coding,-,-,-,RND family transporter,20210423,-
29519,64198391,lon,DB281_RS01250,DB281_01250,-,-,-,endopeptidase La,protein-coding,-,-,-,endopeptidase La,20210423,-
29519,64198392,recJ,DB281_RS01255,DB281_01255,-,-,-,single-stranded-DNA-specific exonuclease RecJ,protein-coding,-,-,-,single-stranded-DNA-specific exonuclease RecJ,20210423,-
29519,64198393,DB281_RS01260,DB281_RS01260,DB281_01260,-,-,-,M23 family metallopeptidase,protein-coding,-,-,-,M23 family metallopeptidase,20210423,-
29519,64198394,DB281_RS01265,DB281_RS01265,DB281_01265,-,-,-,30S ribosomal protein S21,protein-coding,-,-,-,30S ribosomal protein S21,20210423,-
29519,64198395,DB281_RS01270,DB281_RS01270,DB281_01270,-,-,-,DNA translocase FtsK,protein-coding,-,-,-,DNA translocase FtsK,20210423,-
29519,64198396,DB281_RS01275,DB281_RS01275,DB281_01275,-,-,-,undecaprenyl-diphosphate phosphatase,protein-coding,-,-,-,undecaprenyl-diphosphate phosphatase,20210423,-
29519,64198397,DB281_RS01280,DB281_RS01280,DB281_01280,-,-,-,lytic transglycosylase domain-containing protein,protein-coding,-,-,-,lytic transglycosylase domain-containing protein,20210423,-
29519,64198398,DB281_RS01285,DB281_RS01285,DB281_01285,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,64198399,DB281_RS01290,DB281_RS01290,DB281_01290,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
29519,64198400,DB281_RS01295,DB281_RS01295,DB281_01295,-,-,-,M23 family metallopeptidase,protein-coding,-,-,-,M23 family metallopeptidase,20210423,-
29519,64198401,lepB,DB281_RS01300,DB281_01300,-,-,-,signal peptidase I,protein-coding,-,-,-,signal peptidase I,20210423,-
29519,64198402,DB281_RS01305,DB281_RS01305,DB281_01305,-,-,-,Hsp70 family protein,protein-coding,-,-,-,Hsp70 family protein,20210423,-
29519,64198403,DB281_RS01310,DB281_RS01310,DB281_01310,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
29519,64198404,DB281_RS01315,DB281_RS01315,DB281_01315,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
29519,64198405,DB281_RS01320,DB281_RS01320,DB281_01320,-,-,-,DUF342 domain-containing protein,protein-coding,-,-,-,DUF342 domain-containing protein,20210423,-
29519,64198406,DB281_RS01325,DB281_RS01325,DB281_01325,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,64198407,DB281_RS01330,DB281_RS01330,DB281_01330,-,-,-,MinD/ParA family protein,protein-coding,-,-,-,MinD/ParA family protein,20210423,-
29519,64198408,flhF,DB281_RS01335,DB281_01335,-,-,-,flagellar biosynthesis protein FlhF,protein-coding,-,-,-,flagellar biosynthesis protein FlhF,20210423,-
29519,64198409,flhA,DB281_RS01340,DB281_01340,-,-,-,flagellar biosynthesis protein FlhA,protein-coding,-,-,-,flagellar biosynthesis protein FlhA,20210423,-
29519,64198410,flhB,DB281_RS01345,DB281_01345,-,-,-,flagellar biosynthesis protein FlhB,protein-coding,-,-,-,flagellar biosynthesis protein FlhB,20210423,-
29519,64198411,fliR,DB281_RS01350,DB281_01350,-,-,-,flagellar biosynthetic protein FliR,protein-coding,-,-,-,flagellar biosynthetic protein FliR,20210423,-
29519,64198412,fliQ,DB281_RS01355,DB281_01355,-,-,-,flagellar biosynthesis protein FliQ,protein-coding,-,-,-,flagellar biosynthesis protein FliQ,20210423,-
29519,64198413,fliP,DB281_RS01360,DB281_01360,-,-,-,flagellar type III secretion system pore protein FliP,protein-coding,-,-,-,flagellar type III secretion system pore protein FliP,20210423,-
29519,64198414,DB281_RS01365,DB281_RS01365,DB281_01365,-,-,-,flagella biosynthesis regulatory protein FliZ,protein-coding,-,-,-,flagella biosynthesis regulatory protein FliZ,20210423,-
29519,64198415,fliN,DB281_RS01370,DB281_01370,-,-,-,flagellar motor switch protein FliN,protein-coding,-,-,-,flagellar motor switch protein FliN,20210423,-
29519,64198416,fliM,DB281_RS01375,DB281_01375,-,-,-,flagellar motor switch protein FliM,protein-coding,-,-,-,flagellar motor switch protein FliM,20210423,-
29519,64198417,fliL,DB281_RS01380,DB281_01380,-,-,-,flagellar basal body-associated protein FliL,protein-coding,-,-,-,flagellar basal body-associated protein FliL,20210423,-
29519,64198418,motB,DB281_RS01385,DB281_01385,-,-,-,flagellar motor protein MotB,protein-coding,-,-,-,flagellar motor protein MotB,20210423,-
29519,64198419,DB281_RS01390,DB281_RS01390,DB281_01390,-,-,-,motility protein A,protein-coding,-,-,-,motility protein A,20210423,-
29519,64198420,DB281_RS01395,DB281_RS01395,DB281_01395,-,-,-,flagellar FlbD family protein,protein-coding,-,-,-,flagellar FlbD family protein,20210423,-
29519,64198421,flgE,DB281_RS01400,DB281_01400,-,-,-,flagellar hook protein FlgE,protein-coding,-,-,-,flagellar hook protein FlgE,20210423,-
29519,64198422,flgD,DB281_RS01405,DB281_01405,-,-,-,flagellar hook assembly protein FlgD,protein-coding,-,-,-,flagellar hook assembly protein FlgD,20210423,-
29519,64198423,DB281_RS01410,DB281_RS01410,DB281_01410,-,-,-,flagellar hook-length control protein FliK,protein-coding,-,-,-,flagellar hook-length control protein FliK,20210423,-
29519,64198424,DB281_RS01415,DB281_RS01415,DB281_01415,-,-,-,flagellar protein,protein-coding,-,-,-,flagellar protein,20210423,-
29519,64198425,DB281_RS01420,DB281_RS01420,DB281_01420,-,-,-,flagellar protein FlbA,protein-coding,-,-,-,flagellar protein FlbA,20210422,-
29519,64198426,DB281_RS01425,DB281_RS01425,DB281_01425,-,-,-,FliI/YscN family ATPase,protein-coding,-,-,-,FliI/YscN family ATPase,20210423,-
29519,64198427,fliH,DB281_RS01430,DB281_01430,-,-,-,flagellar assembly protein FliH,protein-coding,-,-,-,flagellar assembly protein FliH,20210423,-
29519,64198428,fliG,DB281_RS01435,DB281_01435,-,-,-,flagellar motor switch protein FliG,protein-coding,-,-,-,flagellar motor switch protein FliG,20210423,-
29519,64198429,fliF,DB281_RS01440,DB281_01440,-,-,-,flagellar M-ring protein FliF,protein-coding,-,-,-,flagellar M-ring protein FliF,20210423,-
29519,64198430,fliE,DB281_RS01445,DB281_01445,-,-,-,flagellar hook-basal body complex protein FliE,protein-coding,-,-,-,flagellar hook-basal body complex protein FliE,20210423,-
29519,64198431,flgC,DB281_RS01450,DB281_01450,-,-,-,flagellar basal body rod protein FlgC,protein-coding,-,-,-,flagellar basal body rod protein FlgC,20210423,-
29519,64198432,flgB,DB281_RS01455,DB281_01455,-,-,-,flagellar basal body rod protein FlgB,protein-coding,-,-,-,flagellar basal body rod protein FlgB,20210423,-
29519,64198433,hslU,DB281_RS01460,DB281_01460,-,-,-,HslU--HslV peptidase ATPase subunit,protein-coding,-,-,-,HslU--HslV peptidase ATPase subunit,20210423,-
29519,64198434,hslV,DB281_RS01465,DB281_01465,-,-,-,ATP-dependent protease subunit HslV,protein-coding,-,-,-,ATP-dependent protease subunit HslV,20210423,-
29519,64198435,dprA,DB281_RS01470,DB281_01470,-,-,-,DNA-processing protein DprA,protein-coding,-,-,-,DNA-processing protein DprA,20210423,-
29519,64198436,DB281_RS01475,DB281_RS01475,DB281_01475,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
29519,64198437,ftsZ,DB281_RS01480,DB281_01480,-,-,-,cell division protein FtsZ,protein-coding,-,-,-,cell division protein FtsZ,20210423,-
29519,64198438,ftsA,DB281_RS01485,DB281_01485,-,-,-,cell division protein FtsA,protein-coding,-,-,-,cell division protein FtsA,20210423,-
29519,64198439,DB281_RS01490,DB281_RS01490,DB281_01490,-,-,-,cell division protein FtsQ/DivIB,protein-coding,-,-,-,cell division protein FtsQ/DivIB,20210423,-
29519,64198440,ftsW,DB281_RS01495,DB281_01495,-,-,-,putative lipid II flippase FtsW,protein-coding,-,-,-,putative lipid II flippase FtsW,20210423,-
29519,64198441,DB281_RS01500,DB281_RS01500,DB281_01500,-,-,-,phospho-N-acetylmuramoyl-pentapeptide-transferase,protein-coding,-,-,-,phospho-N-acetylmuramoyl-pentapeptide-transferase,20210423,-
29519,64198442,DB281_RS01505,DB281_RS01505,DB281_01505,-,-,-,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase,protein-coding,-,-,-,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase,20210423,-
29519,64198443,DB281_RS01510,DB281_RS01510,DB281_01510,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
29519,64198444,rsmH,DB281_RS01515,DB281_01515,-,-,-,16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH,protein-coding,-,-,-,16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH,20210423,-
29519,64198445,DB281_RS01520,DB281_RS01520,DB281_01520,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,64198446,DB281_RS01525,DB281_RS01525,DB281_01525,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,64198447,DB281_RS01530,DB281_RS01530,DB281_01530,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,64198448,DB281_RS01535,DB281_RS01535,DB281_01535,-,-,-,NAD(+)/NADH kinase,protein-coding,-,-,-,NAD(+)/NADH kinase,20210423,-
29519,64198449,DB281_RS01540,DB281_RS01540,DB281_01540,-,-,-,chemotaxis protein CheW,protein-coding,-,-,-,chemotaxis protein CheW,20210423,-
29519,64198450,DB281_RS01545,DB281_RS01545,DB281_01545,-,-,-,RlmE family RNA methyltransferase,protein-coding,-,-,-,RlmE family RNA methyltransferase,20210423,-
29519,64198451,DB281_RS01550,DB281_RS01550,DB281_01550,-,-,-,polyprenyl synthetase family protein,protein-coding,-,-,-,polyprenyl synthetase family protein,20210423,-
29519,64198452,DB281_RS01555,DB281_RS01555,DB281_01555,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
29519,64198453,DB281_RS01560,DB281_RS01560,DB281_01560,-,-,-,ABC transporter permease,protein-coding,-,-,-,ABC transporter permease,20210423,-
29519,64198454,DB281_RS01565,DB281_RS01565,DB281_01565,-,-,-,ABC transporter permease,protein-coding,-,-,-,ABC transporter permease,20210423,-
29519,64198455,DB281_RS01570,DB281_RS01570,DB281_01570,-,-,-,sugar ABC transporter ATP-binding protein,protein-coding,-,-,-,sugar ABC transporter ATP-binding protein,20210423,-
29519,64198456,DB281_RS01575,DB281_RS01575,DB281_01575,-,-,-,BMP family protein,protein-coding,-,-,-,BMP family protein,20210423,-
29519,64198457,DB281_RS01585,DB281_RS01585,DB281_01585,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,64198458,DB281_RS01590,DB281_RS01590,DB281_01590,-,-,-,LysM peptidoglycan-binding domain-containing protein,protein-coding,-,-,-,LysM peptidoglycan-binding domain-containing protein,20210423,-
29519,64198459,DB281_RS01595,DB281_RS01595,DB281_01595,-,-,-,tetratricopeptide repeat protein,protein-coding,-,-,-,tetratricopeptide repeat protein,20210423,-
29519,64198460,DB281_RS01600,DB281_RS01600,DB281_01600,-,-,-,VWA domain-containing protein,protein-coding,-,-,-,VWA domain-containing protein,20210423,-
29519,64198461,DB281_RS01605,DB281_RS01605,DB281_01605,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
29519,64198462,DB281_RS01610,DB281_RS01610,DB281_01610,-,-,-,1-acyl-sn-glycerol-3-phosphate acyltransferase,protein-coding,-,-,-,1-acyl-sn-glycerol-3-phosphate acyltransferase,20210423,-
29519,64198463,DB281_RS01615,DB281_RS01615,DB281_01615,-,-,-,peptide ABC transporter substrate-binding protein,protein-coding,-,-,-,peptide ABC transporter substrate-binding protein,20210423,-
29519,64198464,DB281_RS01620,DB281_RS01620,DB281_01620,-,-,-,peptide ABC transporter substrate-binding protein,protein-coding,-,-,-,peptide ABC transporter substrate-binding protein,20210423,-
29519,64198465,DB281_RS01625,DB281_RS01625,DB281_01625,-,-,-,peptide ABC transporter substrate-binding protein,protein-coding,-,-,-,peptide ABC transporter substrate-binding protein,20210423,-
29519,64198466,DB281_RS01630,DB281_RS01630,DB281_01630,-,-,-,ABC transporter permease,protein-coding,-,-,-,ABC transporter permease,20210423,-
29519,64198467,DB281_RS01635,DB281_RS01635,DB281_01635,-,-,-,ABC transporter permease,protein-coding,-,-,-,ABC transporter permease,20210423,-
29519,64198468,DB281_RS01640,DB281_RS01640,DB281_01640,-,-,-,ABC transporter ATP-binding protein,protein-coding,-,-,-,ABC transporter ATP-binding protein,20210423,-
29519,64198469,DB281_RS01645,DB281_RS01645,DB281_01645,-,-,-,ATP-binding cassette domain-containing protein,protein-coding,-,-,-,ATP-binding cassette domain-containing protein,20210423,-
29519,64198470,DB281_RS01650,DB281_RS01650,DB281_01650,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
29519,64198471,eno,DB281_RS01655,DB281_01655,-,-,-,phosphopyruvate hydratase,protein-coding,-,-,-,phosphopyruvate hydratase,20210423,-
29519,64198472,rpsI,DB281_RS01660,DB281_01660,-,-,-,30S ribosomal protein S9,protein-coding,-,-,-,30S ribosomal protein S9,20210423,-
29519,64198473,rplM,DB281_RS01665,DB281_01665,-,-,-,50S ribosomal protein L13,protein-coding,-,-,-,50S ribosomal protein L13,20210423,-
29519,64198474,DB281_RS01670,DB281_RS01670,DB281_01670,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
29519,64198475,gatB,DB281_RS01675,DB281_01675,-,-,-,Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB,protein-coding,-,-,-,Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB,20210423,-
29519,64198476,gatA,DB281_RS01680,DB281_01680,-,-,-,Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatA,protein-coding,-,-,-,Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatA,20210423,-
29519,64198477,gatC,DB281_RS01685,DB281_01685,-,-,-,Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatC,protein-coding,-,-,-,Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatC,20210423,-
29519,64198478,DB281_RS01690,DB281_RS01690,DB281_01690,-,-,-,ATP-dependent helicase,protein-coding,-,-,-,ATP-dependent helicase,20210423,-
29519,64198479,DB281_RS01695,DB281_RS01695,DB281_01695,-,-,-,BB_0345 family helix-turn-helix protein,protein-coding,-,-,-,BB_0345 family helix-turn-helix protein,20210423,-
29519,64198480,DB281_RS01700,DB281_RS01700,DB281_01700,-,-,-,outer membrane lipoprotein carrier protein LolA,protein-coding,-,-,-,outer membrane lipoprotein carrier protein LolA,20210423,-
29519,64198481,DB281_RS01705,DB281_RS01705,DB281_01705,-,-,-,fibronectin-binding domain-containing protein,protein-coding,-,-,-,fibronectin-binding domain-containing protein,20210423,-
29519,64198482,pyk,DB281_RS01710,DB281_01710,-,-,-,pyruvate kinase,protein-coding,-,-,-,pyruvate kinase,20210423,-
29519,64198483,amrB,DB281_RS01715,DB281_01715,-,-,-,AmmeMemoRadiSam system protein B,protein-coding,-,-,-,AmmeMemoRadiSam system protein B,20210422,-
29519,64198484,DB281_RS01720,DB281_RS01720,DB281_01720,-,-,-,50S ribosomal protein L28,protein-coding,-,-,-,50S ribosomal protein L28,20210423,-
29519,64198485,DB281_RS01725,DB281_RS01725,DB281_01725,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,64198486,DB281_RS01730,DB281_RS01730,DB281_01730,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,64198487,DB281_RS01735,DB281_RS01735,DB281_01735,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,64198488,DB281_RS01740,DB281_RS01740,DB281_01740,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,64198489,DB281_RS01745,DB281_RS01745,DB281_01745,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20210423,-
29519,64198490,DB281_RS01750,DB281_RS01750,DB281_01750,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,64198491,DB281_RS01755,DB281_RS01755,DB281_01755,-,-,-,16S rRNA (uracil(1498)-N(3))-methyltransferase,protein-coding,-,-,-,16S rRNA (uracil(1498)-N(3))-methyltransferase,20210423,-
29519,64198492,DB281_RS01760,DB281_RS01760,DB281_01760,-,-,-,PDZ domain-containing protein,protein-coding,-,-,-,PDZ domain-containing protein,20210423,-
29519,64198493,DB281_RS01770,DB281_RS01770,DB281_01770,-,-,-,MinD/ParA family protein,protein-coding,-,-,-,MinD/ParA family protein,20210423,-
29519,64198494,DB281_RS01775,DB281_RS01775,DB281_01775,-,-,-,prolipoprotein diacylglyceryl transferase,protein-coding,-,-,-,prolipoprotein diacylglyceryl transferase,20210423,-
29519,64198495,DB281_RS01780,DB281_RS01780,DB281_01780,-,-,-,pseudo,pseudo,-,-,-,-,20210422,-
29519,64198496,mgsA,DB281_RS01785,DB281_01785,-,-,-,methylglyoxal synthase,protein-coding,-,-,-,methylglyoxal synthase,20210423,-
29519,64198497,DB281_RS01790,DB281_RS01790,DB281_01790,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,64198498,DB281_RS01795,DB281_RS01795,DB281_01795,-,-,-,aminopeptidase,protein-coding,-,-,-,aminopeptidase,20210423,-
29519,64198499,DB281_RS01800,DB281_RS01800,DB281_01800,-,-,-,DNA mismatch repair protein MutT,protein-coding,-,-,-,DNA mismatch repair protein MutT,20210423,-
29519,64198500,DB281_RS01805,DB281_RS01805,DB281_01805,-,-,-,NAD(P)H-dependent glycerol-3-phosphate dehydrogenase,protein-coding,-,-,-,NAD(P)H-dependent glycerol-3-phosphate dehydrogenase,20210423,-
29519,64198501,DB281_RS01810,DB281_RS01810,DB281_01810,-,-,-,ATP-dependent Clp protease ATP-binding subunit,protein-coding,-,-,-,ATP-dependent Clp protease ATP-binding subunit,20210423,-
29519,64198502,DB281_RS01815,DB281_RS01815,DB281_01815,-,-,-,tyrosine--tRNA ligase,protein-coding,-,-,-,tyrosine--tRNA ligase,20210423,-
29519,64198503,DB281_RS01820,DB281_RS01820,DB281_01820,-,-,-,glycine--tRNA ligase,protein-coding,-,-,-,glycine--tRNA ligase,20210423,-
29519,64198504,DB281_RS01825,DB281_RS01825,DB281_01825,-,-,-,glutamate--tRNA ligase,protein-coding,-,-,-,glutamate--tRNA ligase,20210423,-
29519,64198505,DB281_RS01830,DB281_RS01830,DB281_01830,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,64198506,pdeB,DB281_RS01835,DB281_01835,-,-,-,cyclic di-GMP phosphodiesterase PdeB,protein-coding,-,-,-,cyclic di-GMP phosphodiesterase PdeB,20210423,-
29519,64198507,DB281_RS01840,DB281_RS01840,DB281_01840,-,-,-,5'-methylthioadenosine/adenosylhomocysteine nucleosidase,protein-coding,-,-,-,5'-methylthioadenosine/adenosylhomocysteine nucleosidase,20210423,-
29519,64198508,metK,DB281_RS01845,DB281_01845,-,-,-,methionine adenosyltransferase,protein-coding,-,-,-,methionine adenosyltransferase,20210423,-
29519,64198509,DB281_RS01850,DB281_RS01850,DB281_01850,-,-,-,S-ribosylhomocysteine lyase,protein-coding,-,-,-,S-ribosylhomocysteine lyase,20210423,-
29519,64198510,DB281_RS01855,DB281_RS01855,DB281_01855,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
29519,64198511,DB281_RS01860,DB281_RS01860,DB281_01860,-,-,-,HIT family protein,protein-coding,-,-,-,HIT family protein,20210423,-
29519,64198512,mgtE,DB281_RS01865,DB281_01865,-,-,-,magnesium transporter,protein-coding,-,-,-,magnesium transporter,20210423,-
29519,64198513,DB281_RS01870,DB281_RS01870,DB281_01870,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
29519,64198514,DB281_RS01875,DB281_RS01875,DB281_01875,-,-,-,nucleoside ABC transporter substrate-binding protein BmpB,protein-coding,-,-,-,nucleoside ABC transporter substrate-binding protein BmpB,20210423,-
29519,64198515,DB281_RS01880,DB281_RS01880,DB281_01880,-,-,-,nucleoside ABC transporter substrate-binding protein BmpA,protein-coding,-,-,-,nucleoside ABC transporter substrate-binding protein BmpA,20210423,-
29519,64198516,DB281_RS01885,DB281_RS01885,DB281_01885,-,-,-,BMP family ABC transporter substrate-binding protein,protein-coding,-,-,-,BMP family ABC transporter substrate-binding protein,20210423,-
29519,64198517,DB281_RS01890,DB281_RS01890,DB281_01890,-,-,-,nucleoside ABC transporter substrate-binding protein BmpA,protein-coding,-,-,-,nucleoside ABC transporter substrate-binding protein BmpA,20210423,-
29519,64198518,DB281_RS01895,DB281_RS01895,DB281_01895,-,-,-,nucleoside ABC transporter substrate-binding protein BmpC,protein-coding,-,-,-,nucleoside ABC transporter substrate-binding protein BmpC,20210423,-
29519,64198519,DB281_RS01900,DB281_RS01900,DB281_01900,-,-,-,nucleoside ABC transporter substrate-binding protein BmpD,protein-coding,-,-,-,nucleoside ABC transporter substrate-binding protein BmpD,20210423,-
29519,64198520,rpsG,DB281_RS01905,DB281_01905,-,-,-,30S ribosomal protein S7,protein-coding,-,-,-,30S ribosomal protein S7,20210423,-
