#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1392245,54402276,P153DRAFT_100011,P153DRAFT_100011,-,-,Unknown,-,D-tyrosyl-tRNA deacylase-like protein,protein-coding,-,-,-,D-tyrosyl-tRNA deacylase-like protein,20210320,-
1392245,54413733,P153DRAFT_61109,P153DRAFT_61109,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54413734,P153DRAFT_61331,P153DRAFT_61331,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54413735,P153DRAFT_61422,P153DRAFT_61422,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54413736,P153DRAFT_61836,P153DRAFT_61836,-,-,Unknown,-,polysaccharide lyase family 1 protein,protein-coding,-,-,-,polysaccharide lyase family 1 protein,20210320,-
1392245,54413737,P153DRAFT_62506,P153DRAFT_62506,-,-,Unknown,-,NAD(P)-binding protein,protein-coding,-,-,-,NAD(P)-binding protein,20210320,-
1392245,54413738,P153DRAFT_62536,P153DRAFT_62536,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54413739,P153DRAFT_62681,P153DRAFT_62681,-,-,Unknown,-,ras guanine-nucleotide exchange protein-like protein,protein-coding,-,-,-,ras guanine-nucleotide exchange protein-like protein,20210320,-
1392245,54413740,P153DRAFT_62803,P153DRAFT_62803,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54413741,P153DRAFT_63068,P153DRAFT_63068,-,-,Unknown,-,glycosyltransferase family 22 protein,protein-coding,-,-,-,glycosyltransferase family 22 protein,20210320,-
1392245,54413742,P153DRAFT_63093,P153DRAFT_63093,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54413743,P153DRAFT_63321,P153DRAFT_63321,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54413744,P153DRAFT_63380,P153DRAFT_63380,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54413745,P153DRAFT_6363,P153DRAFT_6363,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54413746,P153DRAFT_63634,P153DRAFT_63634,-,-,Unknown,-,3-ketoacyl-reductase-like protein,protein-coding,-,-,-,3-ketoacyl-reductase-like protein,20210320,-
1392245,54413747,P153DRAFT_6389,P153DRAFT_6389,-,-,Unknown,-,lytic polysaccharide monooxygenase,protein-coding,-,-,-,lytic polysaccharide monooxygenase,20210320,-
1392245,54413748,P153DRAFT_63898,P153DRAFT_63898,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54413749,P153DRAFT_64,P153DRAFT_64,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54413750,P153DRAFT_64062,P153DRAFT_64062,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54413751,P153DRAFT_64139,P153DRAFT_64139,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54413752,P153DRAFT_64607,P153DRAFT_64607,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54413753,P153DRAFT_64707,P153DRAFT_64707,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54413754,P153DRAFT_6471,P153DRAFT_6471,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54413755,P153DRAFT_64755,P153DRAFT_64755,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54413756,P153DRAFT_6579,P153DRAFT_6579,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54413757,P153DRAFT_66562,P153DRAFT_66562,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54413758,P153DRAFT_66696,P153DRAFT_66696,-,-,Unknown,-,Aldo/keto reductase,protein-coding,-,-,-,Aldo/keto reductase,20210320,-
1392245,54413759,P153DRAFT_66960,P153DRAFT_66960,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54413760,P153DRAFT_67269,P153DRAFT_67269,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54413761,P153DRAFT_67372,P153DRAFT_67372,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54413762,P153DRAFT_67389,P153DRAFT_67389,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54413763,P153DRAFT_67398,P153DRAFT_67398,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54413764,P153DRAFT_67493,P153DRAFT_67493,-,-,Unknown,-,carbohydrate esterase family 8 protein,protein-coding,-,-,-,carbohydrate esterase family 8 protein,20210320,-
1392245,54413765,P153DRAFT_67816,P153DRAFT_67816,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54413766,P153DRAFT_67946,P153DRAFT_67946,-,-,Unknown,-,S-adenosyl-L-methionine-dependent methyltransferase,protein-coding,-,-,-,S-adenosyl-L-methionine-dependent methyltransferase,20210320,-
1392245,54413767,P153DRAFT_67950,P153DRAFT_67950,-,-,Unknown,-,Nucleotidylyl transferase,protein-coding,-,-,-,Nucleotidylyl transferase,20210320,-
1392245,54413768,P153DRAFT_67951,P153DRAFT_67951,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54413769,P153DRAFT_6819,P153DRAFT_6819,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54413770,P153DRAFT_68206,P153DRAFT_68206,-,-,Unknown,-,polysaccharide lyase family 4 protein,protein-coding,-,-,-,polysaccharide lyase family 4 protein,20210320,-
1392245,54413771,P153DRAFT_68283,P153DRAFT_68283,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54413772,P153DRAFT_6847,P153DRAFT_6847,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54413773,P153DRAFT_68485,P153DRAFT_68485,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54413774,P153DRAFT_68509,P153DRAFT_68509,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54413775,P153DRAFT_68590,P153DRAFT_68590,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54413776,P153DRAFT_68593,P153DRAFT_68593,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54413777,P153DRAFT_68711,P153DRAFT_68711,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54413778,P153DRAFT_68739,P153DRAFT_68739,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54413779,P153DRAFT_68753,P153DRAFT_68753,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54413780,P153DRAFT_68803,P153DRAFT_68803,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54413781,P153DRAFT_69010,P153DRAFT_69010,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54413782,P153DRAFT_69139,P153DRAFT_69139,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54413783,P153DRAFT_69286,P153DRAFT_69286,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54413784,P153DRAFT_69701,P153DRAFT_69701,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54413785,P153DRAFT_70073,P153DRAFT_70073,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54413786,P153DRAFT_70300,P153DRAFT_70300,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54413787,P153DRAFT_70724,P153DRAFT_70724,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54413788,P153DRAFT_70752,P153DRAFT_70752,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54413789,P153DRAFT_70755,P153DRAFT_70755,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54413790,P153DRAFT_70823,P153DRAFT_70823,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54413791,P153DRAFT_70978,P153DRAFT_70978,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54413792,P153DRAFT_71275,P153DRAFT_71275,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54413793,P153DRAFT_71341,P153DRAFT_71341,-,-,Unknown,-,glycoside hydrolase family 132 protein,protein-coding,-,-,-,glycoside hydrolase family 132 protein,20210320,-
1392245,54413794,P153DRAFT_71626,P153DRAFT_71626,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54413795,P153DRAFT_71842,P153DRAFT_71842,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54413796,P153DRAFT_71929,P153DRAFT_71929,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54413797,P153DRAFT_72351,P153DRAFT_72351,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54413798,P153DRAFT_7257,P153DRAFT_7257,-,-,Unknown,-,acyl-CoA N-acyltransferase,protein-coding,-,-,-,acyl-CoA N-acyltransferase,20210320,-
1392245,54413799,P153DRAFT_7321,P153DRAFT_7321,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54413800,P153DRAFT_73230,P153DRAFT_73230,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54413801,P153DRAFT_73488,P153DRAFT_73488,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54413802,P153DRAFT_73528,P153DRAFT_73528,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54413803,P153DRAFT_73535,P153DRAFT_73535,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54413804,P153DRAFT_73703,P153DRAFT_73703,-,-,Unknown,-,ssDNA binding protein-like protein Ssb3,protein-coding,-,-,-,ssDNA binding protein-like protein Ssb3,20210320,-
1392245,54413805,P153DRAFT_73722,P153DRAFT_73722,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54413806,P153DRAFT_7393,P153DRAFT_7393,-,-,Unknown,-,carbohydrate esterase family 12 protein,protein-coding,-,-,-,carbohydrate esterase family 12 protein,20210320,-
1392245,54413807,P153DRAFT_74102,P153DRAFT_74102,-,-,Unknown,-,GroES-like protein,protein-coding,-,-,-,GroES-like protein,20210320,-
1392245,54413808,P153DRAFT_74208,P153DRAFT_74208,-,-,Unknown,-,heme oxygenase-like protein,protein-coding,-,-,-,heme oxygenase-like protein,20210320,-
1392245,54413809,P153DRAFT_74244,P153DRAFT_74244,-,-,Unknown,-,DUF427-domain-containing protein,protein-coding,-,-,-,DUF427-domain-containing protein,20210320,-
1392245,54413810,P153DRAFT_74345,P153DRAFT_74345,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54413811,P153DRAFT_74594,P153DRAFT_74594,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54413812,P153DRAFT_74599,P153DRAFT_74599,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54413813,P153DRAFT_74623,P153DRAFT_74623,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54413814,P153DRAFT_74736,P153DRAFT_74736,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54413815,P153DRAFT_74762,P153DRAFT_74762,-,-,Unknown,-,BAR-domain-containing protein,protein-coding,-,-,-,BAR-domain-containing protein,20210320,-
1392245,54413816,P153DRAFT_7496,P153DRAFT_7496,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54413817,P153DRAFT_75305,P153DRAFT_75305,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54413818,P153DRAFT_75782,P153DRAFT_75782,-,-,Unknown,-,Metallo-dependent hydrolase,protein-coding,-,-,-,Metallo-dependent hydrolase,20210320,-
1392245,54413819,P153DRAFT_75827,P153DRAFT_75827,-,-,Unknown,-,serine palmitoyltransferas-like protein 2,protein-coding,-,-,-,serine palmitoyltransferas-like protein 2,20210320,-
1392245,54413820,P153DRAFT_75916,P153DRAFT_75916,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54413821,P153DRAFT_76041,P153DRAFT_76041,-,-,Unknown,-,phospholipid-translocating P-type ATPase,protein-coding,-,-,-,phospholipid-translocating P-type ATPase,20210320,-
1392245,54413822,P153DRAFT_76106,P153DRAFT_76106,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54413823,P153DRAFT_76241,P153DRAFT_76241,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54413824,P153DRAFT_76303,P153DRAFT_76303,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54413825,P153DRAFT_76950,P153DRAFT_76950,-,-,Unknown,-,Isochorismatase hydrolase,protein-coding,-,-,-,Isochorismatase hydrolase,20210320,-
1392245,54413826,P153DRAFT_77727,P153DRAFT_77727,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54413827,P153DRAFT_78230,P153DRAFT_78230,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54413828,P153DRAFT_78271,P153DRAFT_78271,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54413829,P153DRAFT_78529,P153DRAFT_78529,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54413830,P153DRAFT_7871,P153DRAFT_7871,-,-,Unknown,-,longevity assurance proteins LAG1/LAC1,protein-coding,-,-,-,longevity assurance proteins LAG1/LAC1,20210320,-
1392245,54413831,P153DRAFT_78714,P153DRAFT_78714,-,-,Unknown,-,TIP120-domain-containing protein,protein-coding,-,-,-,TIP120-domain-containing protein,20210320,-
1392245,54413832,P153DRAFT_78818,P153DRAFT_78818,-,-,Unknown,-,PLC-like phosphodiesterase,protein-coding,-,-,-,PLC-like phosphodiesterase,20210320,-
1392245,54413833,P153DRAFT_78875,P153DRAFT_78875,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54413834,P153DRAFT_79009,P153DRAFT_79009,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54413835,P153DRAFT_79394,P153DRAFT_79394,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54413836,P153DRAFT_79420,P153DRAFT_79420,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54413837,P153DRAFT_79486,P153DRAFT_79486,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54413838,P153DRAFT_79539,P153DRAFT_79539,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54413839,P153DRAFT_79589,P153DRAFT_79589,-,-,Unknown,-,kinase-like protein,protein-coding,-,-,-,kinase-like protein,20210320,-
1392245,54413840,P153DRAFT_79595,P153DRAFT_79595,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54413841,P153DRAFT_79664,P153DRAFT_79664,-,-,Unknown,-,phosphatidylinositol glycan class L,protein-coding,-,-,-,phosphatidylinositol glycan class L,20210320,-
1392245,54413842,P153DRAFT_79673,P153DRAFT_79673,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54413843,P153DRAFT_79680,P153DRAFT_79680,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54413844,P153DRAFT_79752,P153DRAFT_79752,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54413845,P153DRAFT_79860,P153DRAFT_79860,-,-,Unknown,-,acid protease,protein-coding,-,-,-,acid protease,20210320,-
1392245,54413846,P153DRAFT_8017,P153DRAFT_8017,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54413847,P153DRAFT_80448,P153DRAFT_80448,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54413848,P153DRAFT_80531,P153DRAFT_80531,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54413849,P153DRAFT_81119,P153DRAFT_81119,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1392245,54413850,P153DRAFT_81142,P153DRAFT_81142,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54413851,P153DRAFT_8124,P153DRAFT_8124,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54413852,P153DRAFT_81544,P153DRAFT_81544,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54413853,P153DRAFT_81620,P153DRAFT_81620,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54413854,P153DRAFT_81706,P153DRAFT_81706,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54413855,P153DRAFT_81771,P153DRAFT_81771,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54413856,P153DRAFT_81789,P153DRAFT_81789,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54413857,P153DRAFT_81839,P153DRAFT_81839,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54413858,P153DRAFT_81907,P153DRAFT_81907,-,-,Unknown,-,translation initiation factor eIF4e,protein-coding,-,-,-,translation initiation factor eIF4e,20210320,-
1392245,54413859,P153DRAFT_81963,P153DRAFT_81963,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54413860,P153DRAFT_82117,P153DRAFT_82117,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54413861,P153DRAFT_82371,P153DRAFT_82371,-,-,Unknown,-,alpha/beta-hydrolase,protein-coding,-,-,-,alpha/beta-hydrolase,20210320,-
1392245,54413862,P153DRAFT_82543,P153DRAFT_82543,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54413863,P153DRAFT_82690,P153DRAFT_82690,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210320,-
1392245,54413864,P153DRAFT_82902,P153DRAFT_82902,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200919,-
1392245,54413865,P153DRAFT_83014,P153DRAFT_83014,-,-,Unknown,-,GroES-like protein,protein-coding,-,-,-,GroES-like protein,20210320,-
1392245,54413866,P153DRAFT_83038,P153DRAFT_83038,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210320,-
1392245,54413867,P153DRAFT_83124,P153DRAFT_83124,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200919,-
1392245,54413868,P153DRAFT_83216,P153DRAFT_83216,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200919,-
1392245,54413869,P153DRAFT_83414,P153DRAFT_83414,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210320,-
1392245,54413870,P153DRAFT_83728,P153DRAFT_83728,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200919,-
1392245,54413871,P153DRAFT_83760,P153DRAFT_83760,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200919,-
1392245,54413872,P153DRAFT_83979,P153DRAFT_83979,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200919,-
1392245,54413873,P153DRAFT_84368,P153DRAFT_84368,-,-,Unknown,-,HET-domain-containing protein,protein-coding,-,-,-,HET-domain-containing protein,20210320,-
1392245,54413874,P153DRAFT_84484,P153DRAFT_84484,-,-,Unknown,-,pseudouridine synthase,protein-coding,-,-,-,pseudouridine synthase,20210320,-
1392245,54413875,P153DRAFT_84741,P153DRAFT_84741,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200919,-
1392245,54413876,P153DRAFT_84844,P153DRAFT_84844,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210320,-
1392245,54413877,P153DRAFT_8493,P153DRAFT_8493,-,-,Unknown,-,cytochrome P450,protein-coding,-,-,-,cytochrome P450,20210320,-
1392245,54413878,P153DRAFT_85062,P153DRAFT_85062,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210320,-
1392245,54413879,P153DRAFT_85608,P153DRAFT_85608,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200919,-
1392245,54413880,P153DRAFT_85615,P153DRAFT_85615,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200919,-
1392245,54413881,P153DRAFT_85630,P153DRAFT_85630,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200919,-
1392245,54413882,P153DRAFT_85646,P153DRAFT_85646,-,-,Unknown,-,carbohydrate-binding module family 21 protein,protein-coding,-,-,-,carbohydrate-binding module family 21 protein,20210320,-
1392245,54413883,P153DRAFT_85737,P153DRAFT_85737,-,-,Unknown,-,Isochorismatase hydrolase,protein-coding,-,-,-,Isochorismatase hydrolase,20210320,-
1392245,54413884,P153DRAFT_85845,P153DRAFT_85845,-,-,Unknown,-,eukaryotic translation initiation factor-like protein 5,protein-coding,-,-,-,eukaryotic translation initiation factor-like protein 5,20210320,-
1392245,54413885,P153DRAFT_86284,P153DRAFT_86284,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210320,-
1392245,54413886,P153DRAFT_8649,P153DRAFT_8649,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54413887,P153DRAFT_86642,P153DRAFT_86642,-,-,Unknown,-,PLP-dependent transferase,protein-coding,-,-,-,PLP-dependent transferase,20210320,-
1392245,54413888,P153DRAFT_86688,P153DRAFT_86688,-,-,Unknown,-,PLP-dependent transferase,protein-coding,-,-,-,PLP-dependent transferase,20210320,-
1392245,54413889,P153DRAFT_87100,P153DRAFT_87100,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200919,-
1392245,54413890,P153DRAFT_87153,P153DRAFT_87153,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200919,-
1392245,54413891,P153DRAFT_87156,P153DRAFT_87156,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200919,-
1392245,54413892,P153DRAFT_87899,P153DRAFT_87899,-,-,Unknown,-,alcohol dehydrogenase 1,protein-coding,-,-,-,alcohol dehydrogenase 1,20210320,-
1392245,54413893,P153DRAFT_88100,P153DRAFT_88100,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200919,-
1392245,54413894,P153DRAFT_88530,P153DRAFT_88530,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200919,-
1392245,54413895,P153DRAFT_88535,P153DRAFT_88535,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200919,-
1392245,54413896,P153DRAFT_88912,P153DRAFT_88912,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200919,-
1392245,54413897,P153DRAFT_89153,P153DRAFT_89153,-,-,Unknown,-,camp-dependent protein kinase A,protein-coding,-,-,-,camp-dependent protein kinase A,20210320,-
1392245,54413898,P153DRAFT_89185,P153DRAFT_89185,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200919,-
1392245,54413899,P153DRAFT_89275,P153DRAFT_89275,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210320,-
1392245,54413900,P153DRAFT_8928,P153DRAFT_8928,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54413901,P153DRAFT_89302,P153DRAFT_89302,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200919,-
1392245,54413902,P153DRAFT_89347,P153DRAFT_89347,-,-,Unknown,-,CTP synthase-like protein,protein-coding,-,-,-,CTP synthase-like protein,20210320,-
1392245,54413903,P153DRAFT_8938,P153DRAFT_8938,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54413904,P153DRAFT_89417,P153DRAFT_89417,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200919,-
1392245,54413905,P153DRAFT_89418,P153DRAFT_89418,-,-,Unknown,-,phospho protein phosphatase-like protein,protein-coding,-,-,-,phospho protein phosphatase-like protein,20210320,-
1392245,54413906,P153DRAFT_89471,P153DRAFT_89471,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20200919,-
1392245,54413907,P153DRAFT_8951,P153DRAFT_8951,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392245,54413908,P153DRAFT_896,P153DRAFT_896,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
