#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
212035,3293507,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Acanthamoeba poliphaga mimivirus).,other,-,-,-,-,20210202,-
212035,9925179,R545,MIMI_gp0587,-,-,-,-,HMG box-containing protein,protein-coding,-,-,-,HMG box-containing protein,20201220,-
212035,9925180,R546,MIMI_gp0588,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925181,R547,MIMI_gp0589,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925182,R549b,MIMI_gs0024,-,-,-,-,ncRNA,ncRNA,-,-,-,-,20200909,-
212035,9925183,R548,MIMI_gp0590,-,-,-,-,thioredoxin-like protein,protein-coding,-,-,-,thioredoxin-like protein,20201220,-
212035,9925184,R549,MIMI_gp0591,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925185,L550,MIMI_gp0592,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925186,R551,MIMI_gp0593,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9925187,L552,MIMI_gp0594,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925188,R553,MIMI_gp0595,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925189,R554,MIMI_gp0596,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925190,R555,MIMI_gp0597,-,-,-,-,uncharacterized hydrolase,protein-coding,-,-,-,uncharacterized hydrolase,20201220,-
212035,9925191,R556,MIMI_gp0598,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925192,R557,MIMI_gp0599,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925193,R558,MIMI_gp0600,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925194,R559,MIMI_gp0601,-,-,-,-,uncharacterized HTH-type transcriptional regulator,protein-coding,-,-,-,uncharacterized HTH-type transcriptional regulator,20201220,-
212035,9925195,R559b,MIMI_gp0602,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925196,L560,MIMI_gp0603,-,-,-,-,uncharacterized HNH endonuclease,protein-coding,-,-,-,uncharacterized HNH endonuclease,20201220,-
212035,9925197,R561,MIMI_gp0604,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925198,R562,MIMI_gp0605,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925199,R563,MIMI_gp0606,-,-,-,-,putative ATP-dependent RNA helicase,protein-coding,-,-,-,putative ATP-dependent RNA helicase,20201220,-
212035,9925200,R564,MIMI_gp0607,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925201,R565,MIMI_gp0608,-,-,-,-,putative glutamine synthetase,protein-coding,-,-,-,putative glutamine synthetase,20201220,-
212035,9925202,L565b,MIMI_gp0609,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925203,R566,MIMI_gp0610,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925204,L567,MIMI_gp0611,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925205,R568/R569,MIMI_gp0612,-,-,-,-,putative ATP-dependent DNA helicase,protein-coding,-,-,-,putative ATP-dependent DNA helicase,20201220,-
212035,9925206,R570,MIMI_gp0613,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925207,R571,MIMI_gp0614,-,-,-,-,putative patatin-like phospholipase,protein-coding,-,-,-,putative patatin-like phospholipase,20201220,-
212035,9925208,L573/L572,MIMI_gp0615,-,-,-,-,putative AAA family ATPase,protein-coding,-,-,-,putative AAA family ATPase,20201220,-
212035,9925209,L574,MIMI_gp0616,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925210,L575,MIMI_gp0617,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925211,L576,MIMI_gp0618,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925212,L577,MIMI_gp0619,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925213,L577b,MIMI_gp0620,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925214,R578,MIMI_gp0621,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9925215,R579,MIMI_gp0622,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9925216,R580,MIMI_gp0623,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9925217,L581,MIMI_gp0624,-,-,-,-,putative ATP-dependent helicase,protein-coding,-,-,-,putative ATP-dependent helicase,20201220,-
212035,9925218,L582,MIMI_gp0625,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925219,L583,MIMI_gp0626,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925220,R584,MIMI_gp0627,-,-,-,-,uncharacterized N-acetyltransferase,protein-coding,-,-,-,uncharacterized N-acetyltransferase,20201220,-
212035,9925221,L585,MIMI_gp0628,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925222,L586,MIMI_gp0629,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925223,R587,MIMI_gp0630,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925224,R588,MIMI_gp0631,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925225,L589,MIMI_gp0632,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9925226,L590,MIMI_gp0633,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925227,L591,MIMI_gp0634,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925228,R592,MIMI_gp0635,-,-,-,-,putative helicase,protein-coding,-,-,-,putative helicase,20201220,-
212035,9925229,L593,MIMI_gp0636,-,-,-,-,putative prolyl 4-hydroxylase,protein-coding,-,-,-,putative prolyl 4-hydroxylase,20201220,-
212035,9925230,L594,MIMI_gp0637,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925231,R595,MIMI_gp0638,-,-,-,-,putative peptidase S9,protein-coding,-,-,-,putative peptidase S9,20201220,-
212035,9925232,R595b,MIMI_gp0639,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925233,R596,MIMI_gp0640,-,-,-,-,probable FAD-linked sulfhydryl oxidase,protein-coding,-,-,-,probable FAD-linked sulfhydryl oxidase,20201220,-
212035,9925234,R597,MIMI_gp0641,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9925235,R598,MIMI_gp0642,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9925236,R599,MIMI_gp0643,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9925237,R600,MIMI_gp0644,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9925238,R601,MIMI_gp0645,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9925239,R602,MIMI_gp0646,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9925240,R603,MIMI_gp0647,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9925241,R604,MIMI_gp0648,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925242,R604b,MIMI_gp0649,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925243,L605,MIMI_gp0650,-,-,-,-,structural PPIase-like protein,protein-coding,-,-,-,structural PPIase-like protein,20201220,-
212035,9925244,L606,MIMI_gp0651,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925245,R607,MIMI_gp0652,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925246,R607b,MIMI_gp0653,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925247,L609,MIMI_gp0654,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925248,R608,MIMI_gp0655,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925249,R610,MIMI_gp0656,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925250,R614b,MIMI_gs0025,-,-,-,-,ncRNA,ncRNA,-,-,-,-,20200909,-
212035,9925251,L611,MIMI_gp0657,-,-,-,-,putative ATP-binding,protein-coding,-,-,-,putative ATP-binding,20201220,-
212035,9925252,L612,MIMI_gp0658,-,-,-,-,uncharacterized cupin RmlC-type domain protein,protein-coding,-,-,-,uncharacterized cupin RmlC-type domain protein,20201220,-
212035,9925253,L613,MIMI_gp0659,-,-,-,-,putative histone demethylase,protein-coding,-,-,-,putative histone demethylase,20201220,-
212035,9925254,R614,MIMI_gp0660,-,-,-,-,putative band 7 family protein,protein-coding,-,-,-,putative band 7 family protein,20201220,-
212035,9925255,L615,MIMI_gp0661,-,-,-,-,putative phosphatidylinositol kinase,protein-coding,-,-,-,putative phosphatidylinositol kinase,20201220,-
212035,9925256,R616,MIMI_gp0662,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925257,R617,MIMI_gp0663,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925258,R618,MIMI_gp0664,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925259,L619,MIMI_gp0665,-,-,-,-,probable glucosamine--fructose-6-phosphate aminotransferase,protein-coding,-,-,-,probable glucosamine--fructose-6-phosphate aminotransferase,20201220,-
212035,9925260,R623b,MIMI_gs0026,-,-,-,-,ncRNA,ncRNA,-,-,-,-,20200909,-
212035,9925261,L620,MIMI_gp0666,-,-,-,-,putative patatin phospholipase,protein-coding,-,-,-,putative patatin phospholipase,20201220,-
212035,9925262,L621,MIMI_gp0667,-,-,-,-,putative glycylpeptide N-tetradecanoyltransferase,protein-coding,-,-,-,putative glycylpeptide N-tetradecanoyltransferase,20201220,-
212035,9925263,R622,MIMI_gp0668,-,-,-,-,putative tyrosine-protein phosphatase,protein-coding,-,-,-,putative tyrosine-protein phosphatase,20201220,-
212035,9925264,R623,MIMI_gp0669,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925265,R624,MIMI_gp0670,-,-,-,-,putative GTP binding translation elongation/initiation factor,protein-coding,-,-,-,putative GTP binding translation elongation/initiation factor,20201220,-
212035,9925266,R625,MIMI_gp0671,-,-,-,-,putative GTP-binding protein,protein-coding,-,-,-,putative GTP-binding protein,20201220,-
212035,9925267,L625b,MIMI_gp0672,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925268,R626,MIMI_gp0673,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925269,R627,MIMI_gp0674,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925270,L628,MIMI_gp0675,-,-,-,-,cytochrome b5-like protein,protein-coding,-,-,-,cytochrome b5-like protein,20201220,-
212035,9925271,L629,MIMI_gp0676,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925272,L630,MIMI_gp0677,-,-,-,-,uncharacterized transmembrane protein,protein-coding,-,-,-,uncharacterized transmembrane protein,20201220,-
212035,9925273,L631,MIMI_gp0678,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925274,R632,MIMI_gp0679,-,-,-,-,acid ceramidase-like protein,protein-coding,-,-,-,acid ceramidase-like protein,20201220,-
212035,9925275,L633,MIMI_gp0680,-,-,-,-,putative lectin,protein-coding,-,-,-,putative lectin,20201220,-
212035,9925276,R633b,MIMI_gp0681,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925277,R634,MIMI_gp0682,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9925278,R635,MIMI_gp0683,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925279,R635b,MIMI_gp0684,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925280,R636,MIMI_gp0685,-,-,-,-,putative FNIP repeat-containing protein,protein-coding,-,-,-,putative FNIP repeat-containing protein,20201220,-
212035,9925281,R637,MIMI_gp0686,-,-,-,-,putative F-box protein,protein-coding,-,-,-,putative F-box protein,20201220,-
212035,9925282,R638,MIMI_gp0687,-,-,-,-,putative F-box protein,protein-coding,-,-,-,putative F-box protein,20201220,-
212035,9925283,R639,MIMI_gp0688,-,-,-,-,methionyl-tRNA synthetase,protein-coding,-,-,-,methionyl-tRNA synthetase,20201220,-
212035,9925284,R640,MIMI_gp0689,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925285,R641,MIMI_gp0690,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925286,R642,MIMI_gp0691,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925287,R643,MIMI_gp0692,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925288,L645,MIMI_gp0693,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925289,R644,MIMI_gp0694,-,-,-,-,phosphatidylethanolamine-binding protein-like protein,protein-coding,-,-,-,phosphatidylethanolamine-binding protein-like protein,20201220,-
212035,9925290,R646,MIMI_gp0695,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925291,L647,MIMI_gp0696,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925292,R648,MIMI_gp0697,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925293,L649,MIMI_gp0698,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925294,R649b,MIMI_gp0699,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925295,R650,MIMI_gp0700,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925296,R651,MIMI_gp0701,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925297,R652,MIMI_gp0702,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925298,R653,MIMI_gp0703,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925299,R654,MIMI_gp0704,-,-,-,-,putative fucosyltransferase,protein-coding,-,-,-,putative fucosyltransferase,20201220,-
212035,9925300,R655,MIMI_gp0705,-,-,-,-,putative glycosyltransferase,protein-coding,-,-,-,putative glycosyltransferase,20201220,-
212035,9925301,R656,MIMI_gp0706,-,-,-,-,putative amine oxidase,protein-coding,-,-,-,putative amine oxidase,20201220,-
212035,9925302,L657,MIMI_gp0707,-,-,-,-,putative t-SNARE coiled-coil homology domain-containing protein,protein-coding,-,-,-,putative t-SNARE coiled-coil homology domain-containing protein,20201220,-
212035,9925303,R658,MIMI_gp0708,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925304,R659,MIMI_gp0709,-,-,-,-,putative EGF-like domain-containing protein,protein-coding,-,-,-,putative EGF-like domain-containing protein,20201220,-
212035,9925305,R660,MIMI_gp0710,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925306,R661,MIMI_gp0711,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925307,R661b,MIMI_gp0712,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925308,L662,MIMI_gp0713,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925309,R663,MIMI_gp0714,-,-,-,-,arginyl-tRNA synthetase,protein-coding,-,-,-,arginyl-tRNA synthetase,20201220,-
212035,9925310,R664,MIMI_gp0715,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9925311,R665,MIMI_gp0716,-,-,-,-,putative oxidoreductase,protein-coding,-,-,-,putative oxidoreductase,20201220,-
212035,9925312,L666,MIMI_gp0717,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925313,R667,MIMI_gp0718,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925314,L668,MIMI_gp0719,-,-,-,-,collagen-like protein 6,protein-coding,-,-,-,collagen-like protein 6,20201220,-
212035,9925315,L669,MIMI_gp0720,-,-,-,-,collagen-like protein 7,protein-coding,-,-,-,collagen-like protein 7,20201220,-
212035,9925316,L670,MIMI_gp0721,-,-,-,-,putative serine/threonine-protein kinase,protein-coding,-,-,-,putative serine/threonine-protein kinase,20201220,-
212035,9925317,L671,MIMI_gp0722,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925318,L672,MIMI_gp0723,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925319,L673,MIMI_gp0724,-,-,-,-,putative serine/threonine-protein kinase,protein-coding,-,-,-,putative serine/threonine-protein kinase,20201220,-
212035,9925320,L673b,MIMI_gp0725,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925321,L674,MIMI_gp0726,-,-,-,-,putative BTB/POZ domain-containing protein,protein-coding,-,-,-,putative BTB/POZ domain-containing protein,20201220,-
212035,9925322,L675,MIMI_gp0727,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9925323,L676,MIMI_gp0728,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925324,R676b,MIMI_gp0729,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925325,L677,MIMI_gp0730,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9925326,L678,MIMI_gp0731,-,-,-,-,putative SET domain-containing protein,protein-coding,-,-,-,putative SET domain-containing protein,20201220,-
212035,9925327,R679,MIMI_gp0732,-,-,-,-,putative serine/threonine-protein kinase,protein-coding,-,-,-,putative serine/threonine-protein kinase,20201220,-
212035,9925328,R680,MIMI_gp0733,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925329,R681,MIMI_gp0734,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925330,L681b,MIMI_gp0735,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925331,L682,MIMI_gp0736,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925332,L683,MIMI_gp0737,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925333,L684,MIMI_gp0738,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925334,L684b,MIMI_gp0739,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925335,L685,MIMI_gp0740,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925336,L685b,MIMI_gp0741,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925337,L686,MIMI_gp0742,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925338,L687,MIMI_gp0743,-,-,-,-,putative UV-damage endonuclease,protein-coding,-,-,-,putative UV-damage endonuclease,20201220,-
212035,9925339,L688,MIMI_gp0744,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925340,R689,MIMI_gp0745,-,-,-,-,probable UDP-N-acetylglucosamine pyrophosphorylase,protein-coding,-,-,-,probable UDP-N-acetylglucosamine pyrophosphorylase,20201220,-
212035,9925341,L690,MIMI_gp0746,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925342,R691,MIMI_gp0747,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925343,L692b,MIMI_gp0748,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925344,R692,MIMI_gp0749,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925345,R693,MIMI_gp0750,-,-,-,-,probable methylated-DNA--protein-cysteine methyltransferase,protein-coding,-,-,-,probable methylated-DNA--protein-cysteine methyltransferase,20201220,-
212035,9925346,R694,MIMI_gp0751,-,-,-,-,putative potassium channel protein,protein-coding,-,-,-,putative potassium channel protein,20201220,-
212035,9925347,R695,MIMI_gp0752,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925348,L696,MIMI_gp0753,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925349,L696b,MIMI_gp0754,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925350,L697,MIMI_gp0755,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925351,L698,MIMI_gp0756,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925352,R699,MIMI_gp0757,-,-,-,-,"putative procollagen-lysine,2-oxoglutarate dioxygenase",protein-coding,-,-,-,"putative procollagen-lysine,2-oxoglutarate dioxygenase",20201220,-
212035,9925353,R700,MIMI_gp0758,-,-,-,-,uncharacterized serpin-like protein,protein-coding,-,-,-,uncharacterized serpin-like protein,20201220,-
212035,9925354,L701,MIMI_gp0759,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925355,L702,MIMI_gp0760,-,-,-,-,putative protein kinase-like,protein-coding,-,-,-,putative protein kinase-like,20201220,-
212035,9925356,R703,MIMI_gp0761,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925357,R704,MIMI_gp0762,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925358,R705,MIMI_gp0763,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925359,R706,MIMI_gp0764,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925360,R707,MIMI_gp0765,-,-,-,-,P13-like protein,protein-coding,-,-,-,P13-like protein,20201220,-
212035,9925361,R708,MIMI_gp0766,-,-,-,-,uncharacterized phosphoglycerate mutase family protein,protein-coding,-,-,-,uncharacterized phosphoglycerate mutase family protein,20201220,-
212035,9925362,L709,MIMI_gp0767,-,-,-,-,probable ubiquitin-conjugating enzyme E2,protein-coding,-,-,-,probable ubiquitin-conjugating enzyme E2,20201220,-
212035,9925363,R710,MIMI_gp0768,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925364,L711,MIMI_gp0769,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925365,L712,MIMI_gp0770,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925366,R713,MIMI_gp0771,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925367,L713b,MIMI_gp0772,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925368,R714,MIMI_gp0773,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925369,L715,MIMI_gp0774,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20201220,-
212035,9925370,L716,MIMI_gp0775,-,-,-,-,putative glutamine amidotransferase-like protein,protein-coding,-,-,-,putative glutamine amidotransferase-like protein,20201220,-
212035,9925371,L717,MIMI_gp0776,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925372,R718,MIMI_gp0777,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925373,L719,MIMI_gp0778,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925374,L720,MIMI_gp0779,-,-,-,-,endonuclease VIII-like protein,protein-coding,-,-,-,endonuclease VIII-like protein,20201220,-
212035,9925375,R721,MIMI_gp0780,-,-,-,-,putative chemotaxis protein CheD,protein-coding,-,-,-,putative chemotaxis protein CheD,20201220,-
212035,9925376,R722,MIMI_gp0781,-,-,-,-,putative bifunctional metalloprotease/ubiquitin-protein ligase,protein-coding,-,-,-,putative bifunctional metalloprotease/ubiquitin-protein ligase,20201220,-
212035,9925377,L723,MIMI_gp0782,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925378,L724,MIMI_gp0783,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925379,L725,MIMI_gp0784,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925380,R726,MIMI_gp0785,-,-,-,-,peptide chain release factor eRF1,protein-coding,-,-,-,peptide chain release factor eRF1,20201220,-
212035,9925381,R727,MIMI_gp0786,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925382,L728,MIMI_gp0787,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925383,L729,MIMI_gp0788,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
212035,9925384,R730,MIMI_gp0789,-,-,-,-,putative CfxQ-like protein,protein-coding,-,-,-,putative CfxQ-like protein,20201220,-
