#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
573,2827931,NEWENTRY,-,-,-,-,-,"Record to support submission of GeneRIFs for a gene not in Gene ('Klebsiella aerogenes' (Kruse) Taylor et al. 1956; Bacillus pneumoniae; Bacterium pneumoniae crouposae; Hyalococcus pneumoniae; Klebsiella pneumoniae aerogenes.  Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).",other,-,-,-,-,20210522,-
573,39642228,D9K63_RS27045,D9K63_RS27045,D9K63_27045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642230,D9K63_RS27055,D9K63_RS27055,D9K63_27055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642240,D9K63_RS27105,D9K63_RS27105,D9K63_27105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642245,D9K63_RS27130,D9K63_RS27130,D9K63_27130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642247,D9K63_RS27140,D9K63_RS27140,D9K63_27140,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642257,D9K63_RS27190,D9K63_RS27190,D9K63_27190,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642262,D9K63_RS27215,D9K63_RS27215,D9K63_27215,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642264,D9K63_RS27225,D9K63_RS27225,D9K63_27225,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642274,D9K63_RS27275,D9K63_RS27275,D9K63_27275,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642279,D9K63_RS27300,D9K63_RS27300,D9K63_27300,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642281,D9K63_RS27310,D9K63_RS27310,D9K63_27310,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642291,D9K63_RS27360,D9K63_RS27360,D9K63_27360,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642296,D9K63_RS27385,D9K63_RS27385,D9K63_27385,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642298,D9K63_RS27395,D9K63_RS27395,D9K63_27395,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642308,D9K63_RS27445,D9K63_RS27445,D9K63_27445,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642313,D9K63_RS27470,D9K63_RS27470,D9K63_27470,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642315,D9K63_RS27480,D9K63_RS27480,D9K63_27480,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642325,D9K63_RS27530,D9K63_RS27530,D9K63_27530,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642330,D9K63_RS27555,D9K63_RS27555,D9K63_27555,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642332,D9K63_RS27565,D9K63_RS27565,D9K63_27565,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642342,D9K63_RS27615,D9K63_RS27615,D9K63_27615,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642347,D9K63_RS27640,D9K63_RS27640,D9K63_27640,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642349,D9K63_RS27650,D9K63_RS27650,D9K63_27650,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642357,D9K63_RS27690,D9K63_RS27690,D9K63_27690,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642358,D9K63_RS27695,D9K63_RS27695,D9K63_27695,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642362,D9K63_RS27715,D9K63_RS27715,D9K63_27715,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
573,39642364,D9K63_RS27725,D9K63_RS27725,D9K63_27725,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642365,D9K63_RS27730,D9K63_RS27730,D9K63_27730,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
573,39642367,D9K63_RS27740,D9K63_RS27740,D9K63_27740,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642368,D9K63_RS27745,D9K63_RS27745,D9K63_27745,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642374,D9K63_RS27775,D9K63_RS27775,D9K63_27775,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642386,D9K63_RS27835,D9K63_RS27835,D9K63_27835,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642389,D9K63_RS27850,D9K63_RS27850,D9K63_27850,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
573,39642390,D9K63_RS27855,D9K63_RS27855,D9K63_27855,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
573,39642410,D9K63_RS27955,D9K63_RS27955,D9K63_27955,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642411,D9K63_RS27960,D9K63_RS27960,D9K63_27960,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642412,D9K63_RS27965,D9K63_RS27965,D9K63_27965,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642413,D9K63_RS27970,D9K63_RS27970,D9K63_27970,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642428,D9K63_RS28045,D9K63_RS28045,D9K63_28045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642430,D9K63_RS28055,D9K63_RS28055,D9K63_28055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642445,D9K63_RS28130,D9K63_RS28130,D9K63_28130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642455,D9K63_RS28180,D9K63_RS28180,D9K63_28180,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642456,D9K63_RS28185,D9K63_RS28185,D9K63_28185,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642457,D9K63_RS28190,D9K63_RS28190,D9K63_28190,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642458,D9K63_RS28195,D9K63_RS28195,D9K63_28195,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642459,D9K63_RS28200,D9K63_RS28200,D9K63_28200,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642475,D9K63_RS28280,D9K63_RS28280,D9K63_28280,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642479,D9K63_RS28300,D9K63_RS28300,D9K63_28300,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642481,D9K63_RS28310,D9K63_RS28310,D9K63_28310,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642485,D9K63_RS28330,D9K63_RS28330,D9K63_28330,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642486,D9K63_RS28335,D9K63_RS28335,D9K63_28335,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642489,D9K63_RS28350,D9K63_RS28350,D9K63_28350,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642497,D9K63_RS28390,D9K63_RS28390,D9K63_28390,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642519,D9K64_RS26280,D9K64_RS26280,D9K64_26280,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642523,D9K64_RS26300,D9K64_RS26300,D9K64_26300,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642529,D9K64_RS26330,D9K64_RS26330,D9K64_26330,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642531,D9K64_RS26340,D9K64_RS26340,D9K64_26340,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642532,D9K64_RS26345,D9K64_RS26345,D9K64_26345,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642535,D9K64_RS26360,D9K64_RS26360,D9K64_26360,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642537,D9K64_RS26370,D9K64_RS26370,D9K64_26370,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642542,D9K64_RS26395,D9K64_RS26395,D9K64_26395,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642550,D9K64_RS26435,D9K64_RS26435,D9K64_26435,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642558,D9K64_RS26475,D9K64_RS26475,D9K64_26475,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642561,D9K64_RS26490,D9K64_RS26490,D9K64_26490,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642562,D9K64_RS26495,D9K64_RS26495,D9K64_26495,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642563,D9K64_RS26500,D9K64_RS26500,D9K64_26500,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642568,D9K64_RS26525,D9K64_RS26525,D9K64_26525,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642573,D9K64_RS26550,D9K64_RS26550,D9K64_26550,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642576,D9K64_RS26565,D9K64_RS26565,D9K64_26565,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642583,D9K64_RS26600,D9K64_RS26600,D9K64_26600,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
573,39642589,D9K64_RS26630,D9K64_RS26630,D9K64_26630,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642591,D9K64_RS26640,D9K64_RS26640,D9K64_26640,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642597,D9K64_RS26670,D9K64_RS26670,D9K64_26670,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642602,D9K64_RS26695,D9K64_RS26695,D9K64_26695,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642606,D9K64_RS26715,D9K64_RS26715,D9K64_26715,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642611,D9K64_RS26740,D9K64_RS26740,D9K64_26740,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642615,D9K64_RS26760,D9K64_RS26760,D9K64_26760,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642618,D9K64_RS26775,D9K64_RS26775,D9K64_26775,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642631,D9K64_RS26840,D9K64_RS26840,D9K64_26840,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642634,D9K64_RS26855,D9K64_RS26855,D9K64_26855,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642636,D9K64_RS26865,D9K64_RS26865,D9K64_26865,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190525,-
573,39642660,D9K64_RS26985,D9K64_RS26985,D9K64_26985,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642661,D9K64_RS26990,D9K64_RS26990,D9K64_26990,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642670,D9K64_RS27035,D9K64_RS27035,D9K64_27035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
573,39642680,D9K64_RS27085,D9K64_RS27085,D9K64_27085,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39642681,D9K64_RS27090,D9K64_RS27090,D9K64_27090,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
573,39642682,D9K64_RS27095,D9K64_RS27095,D9K64_27095,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642683,D9K64_RS27100,D9K64_RS27100,D9K64_27100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39642685,D9K64_RS27110,D9K64_RS27110,D9K64_27110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642696,D9K64_RS27165,D9K64_RS27165,D9K64_27165,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
573,39642705,D9K64_RS27210,D9K64_RS27210,D9K64_27210,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642708,D9K64_RS27225,D9K64_RS27225,D9K64_27225,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39642711,D9K64_RS27240,D9K64_RS27240,D9K64_27240,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39642717,D9K64_RS27270,D9K64_RS27270,D9K64_27270,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39642742,D9K64_RS27395,D9K64_RS27395,D9K64_27395,-,-,-,IS66 family insertion sequence hypothetical protein,protein-coding,-,-,-,IS66 family insertion sequence hypothetical protein,20190429,-
573,39642746,D9K64_RS27415,D9K64_RS27415,D9K64_27415,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190406,-
573,39642752,D9K64_RS27445,D9K64_RS27445,D9K64_27445,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642755,D9K64_RS27460,D9K64_RS27460,D9K64_27460,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190815,-
573,39642758,D9K64_RS27475,D9K64_RS27475,D9K64_27475,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642761,D9K64_RS27490,D9K64_RS27490,D9K64_27490,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642765,D9K64_RS27510,D9K64_RS27510,D9K64_27510,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190815,-
573,39642769,D9K64_RS27530,D9K64_RS27530,D9K64_27530,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190406,-
573,39642771,D9K64_RS27540,D9K64_RS27540,D9K64_27540,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642801,D9K64_RS27690,D9K64_RS27690,D9K64_27690,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642816,D9K64_RS27765,D9K64_RS27765,D9K64_27765,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
573,39642823,D9K64_RS27800,D9K64_RS27800,D9K64_27800,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
573,39642830,D9K64_RS27835,D9K64_RS27835,D9K64_27835,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39642832,D9K64_RS27845,D9K64_RS27845,D9K64_27845,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642834,D9K64_RS27855,D9K64_RS27855,D9K64_27855,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39642842,D9K64_RS27895,D9K64_RS27895,D9K64_27895,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39642852,D9K64_RS27945,D9K64_RS27945,D9K64_27945,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39642853,D9K64_RS27950,D9K64_RS27950,D9K64_27950,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642856,D9K64_RS27965,D9K64_RS27965,D9K64_27965,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
573,39642875,D9K64_RS28060,D9K64_RS28060,D9K64_28060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642876,D9K64_RS28065,D9K64_RS28065,D9K64_28065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642877,D9K64_RS28070,D9K64_RS28070,D9K64_28070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190815,-
573,39642891,D9K64_RS28140,D9K64_RS28140,D9K64_28140,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642905,AXA58_RS27770,AXA58_RS27770,AXA58_27990,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190525,-
573,39642906,AXA58_RS27775,AXA58_RS27775,AXA58_27995,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190815,-
573,39642907,AXA58_RS27810,AXA58_RS27810,AXA58_28030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
573,39642915,AXA58_RS27850,AXA58_RS27850,AXA58_28070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642919,AXA58_RS27780,AXA58_RS27780,AXA58_28000,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642922,AXA58_RS27795,AXA58_RS27795,AXA58_28015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
573,39642933,AXA58_RS27905,AXA58_RS27905,AXA58_28125,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39642953,AXA58_RS28005,AXA58_RS28005,AXA58_28225,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642959,AXA58_RS28035,AXA58_RS28035,AXA58_28255,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39642960,AXA58_RS28040,AXA58_RS28040,AXA58_28260,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39642961,AXA58_RS28045,AXA58_RS28045,AXA58_28265,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642973,AXA58_RS28105,AXA58_RS28105,AXA58_28325,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642975,AXA58_RS28115,AXA58_RS28115,AXA58_28335,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
573,39642989,AXA58_RS28185,AXA58_RS28185,AXA58_28415,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39642991,AXA58_RS28195,AXA58_RS28195,AXA58_28425,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39642994,AXA58_RS28210,AXA58_RS28210,AXA58_28440,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39643005,AXA58_RS28265,AXA58_RS28265,AXA58_28495,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39643016,AXA58_RS28320,AXA58_RS28320,AXA58_28550,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39643044,AXA58_RS28460,AXA58_RS28460,AXA58_28690,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39643055,AXA58_RS28515,AXA58_RS28515,AXA58_28745,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39643056,AXA58_RS28520,AXA58_RS28520,AXA58_28755,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39643059,AXA58_RS28535,AXA58_RS28535,AXA58_28775,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39643072,AXA58_RS28600,AXA58_RS28600,AXA58_28840,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39643074,AXA58_RS28610,AXA58_RS28610,AXA58_28850,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39643080,AXA58_RS28640,AXA58_RS28640,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39643081,AXA58_RS28645,AXA58_RS28645,AXA58_28880,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39643082,AXA58_RS28650,AXA58_RS28650,AXA58_28885,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39643084,AXA58_RS28660,AXA58_RS28660,AXA58_28895,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39643085,AXA58_RS28665,AXA58_RS28665,AXA58_28900,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39643092,AXA58_RS28700,AXA58_RS28700,AXA58_28935,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39643093,AXA58_RS28705,AXA58_RS28705,AXA58_28940,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39643100,AXA58_RS28740,AXA58_RS28740,AXA58_28975,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39643104,AXA58_RS28760,AXA58_RS28760,AXA58_28995,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39643105,AXA58_RS28765,AXA58_RS28765,AXA58_29000,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39643119,AXA58_RS28835,AXA58_RS28835,AXA58_29065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39643120,AXA58_RS28840,AXA58_RS28840,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39643123,AXA58_RS28855,AXA58_RS28855,AXA58_29080,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39643136,DCD52_RS00025,DCD52_RS00025,DCD52_00025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39643138,DCD52_RS00035,DCD52_RS00035,DCD52_00035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
573,39643139,DCD52_RS00040,DCD52_RS00040,DCD52_00040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39643141,DCD52_RS00050,DCD52_RS00050,DCD52_00050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39643146,DCD52_RS00075,DCD52_RS00075,DCD52_00075,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39643147,DCD52_RS00080,DCD52_RS00080,DCD52_00080,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39643155,DCD52_RS00120,DCD52_RS00120,DCD52_00120,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39643156,DCD52_RS00125,DCD52_RS00125,DCD52_00125,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39643164,DCD52_RS00200,DCD52_RS00200,DCD52_00200,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39643165,DCD52_RS00205,DCD52_RS00205,DCD52_00205,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
573,39643170,DCD52_RS00230,DCD52_RS00230,DCD52_00230,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39643180,DCD52_RS00140,DCD52_RS00140,DCD52_00140,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39643216,DCD52_RS00420,DCD52_RS00420,DCD52_00420,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39643251,DCD52_RS00595,DCD52_RS00595,DCD52_00590,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39643252,DCD52_RS00600,DCD52_RS00600,DCD52_00595,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39643262,DCD52_RS00650,DCD52_RS00650,DCD52_00645,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39643278,DCD52_RS00730,DCD52_RS00730,DCD52_00725,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39643288,DCD52_RS00780,DCD52_RS00780,DCD52_00775,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39643369,DCD52_RS01190,DCD52_RS01190,DCD52_01185,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39643383,DCD52_RS01255,DCD52_RS01255,DCD52_01250,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190525,-
573,39643399,DCD52_RS01335,DCD52_RS01335,DCD52_01330,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39643536,DVJ73_RS00570,DVJ73_RS00570,DVJ73_00570,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39643538,DVJ73_RS00580,DVJ73_RS00580,DVJ73_00580,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39643539,DVJ73_RS00585,DVJ73_RS00585,DVJ73_00585,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39643582,DVJ73_RS00800,DVJ73_RS00800,DVJ73_00800,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39643583,DVJ73_RS00805,DVJ73_RS00805,DVJ73_00805,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39643603,DVJ73_RS00905,DVJ73_RS00905,DVJ73_00905,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39643605,DVJ73_RS00915,DVJ73_RS00915,DVJ73_00915,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39643613,DVJ73_RS00955,DVJ73_RS00955,DVJ73_00955,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39643615,DVJ73_RS00965,DVJ73_RS00965,DVJ73_00965,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
