#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
697581,25405473,TCARB_RS00005,TCARB_RS00005,TCARB_0001,-,-,-,adenosine-specific kinase,protein-coding,-,-,-,adenosine-specific kinase,20201026,-
697581,25406903,mtnA,TCARB_RS07155,TCARB_1503,-,-,-,S-methyl-5-thioribose-1-phosphate isomerase,protein-coding,-,-,-,S-methyl-5-thioribose-1-phosphate isomerase,20200829,-
697581,25406904,TCARB_RS07160,TCARB_RS07160,TCARB_1504,-,-,-,DUF99 family protein,protein-coding,-,-,-,DUF99 family protein,20200829,-
697581,25406905,TCARB_RS07165,TCARB_RS07165,TCARB_1505,-,-,-,aminopeptidase P family protein,protein-coding,-,-,-,aminopeptidase P family protein,20210424,-
697581,25406906,TCARB_RS07170,TCARB_RS07170,TCARB_1506,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25406907,TCARB_RS07175,TCARB_RS07175,TCARB_1507,-,-,-,HIT domain-containing protein,protein-coding,-,-,-,HIT domain-containing protein,20200829,-
697581,25406908,TCARB_RS07180,TCARB_RS07180,TCARB_1508,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25406909,TCARB_RS07185,TCARB_RS07185,TCARB_1509,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25406910,TCARB_RS07190,TCARB_RS07190,TCARB_1510,-,-,-,ATP/GTP-binding protein,protein-coding,-,-,-,ATP/GTP-binding protein,20200829,-
697581,25406911,TCARB_RS07195,TCARB_RS07195,TCARB_1511,-,-,-,roadblock/LC7 domain-containing protein,protein-coding,-,-,-,roadblock/LC7 domain-containing protein,20210424,-
697581,25406912,TCARB_RS07200,TCARB_RS07200,TCARB_1512,-,-,-,pyridoxal phosphate-dependent aminotransferase,protein-coding,-,-,-,pyridoxal phosphate-dependent aminotransferase,20201026,-
697581,25406913,TCARB_RS07205,TCARB_RS07205,TCARB_1513,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25406914,TCARB_RS07210,TCARB_RS07210,TCARB_1516,-,-,-,30S ribosomal protein S11,protein-coding,-,-,-,30S ribosomal protein S11,20200829,-
697581,25406915,TCARB_RS07215,TCARB_RS07215,TCARB_1517,-,-,-,30S ribosomal protein S4,protein-coding,-,-,-,30S ribosomal protein S4,20201026,-
697581,25406916,TCARB_RS07220,TCARB_RS07220,TCARB_1518,-,-,-,30S ribosomal protein S13,protein-coding,-,-,-,30S ribosomal protein S13,20200829,-
697581,25406917,TCARB_RS07225,TCARB_RS07225,TCARB_1976,-,-,-,-,tRNA,-,-,-,-,20200829,-
697581,25406918,TCARB_RS07230,TCARB_RS07230,TCARB_1519,-,-,-,GNAT family N-acetyltransferase,protein-coding,-,-,-,GNAT family N-acetyltransferase,20200829,-
697581,25406919,menC,TCARB_RS07235,TCARB_1520,-,-,-,o-succinylbenzoate synthase,protein-coding,-,-,-,o-succinylbenzoate synthase,20200829,-
697581,25406920,TCARB_RS07240,TCARB_RS07240,TCARB_1521,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25406921,TCARB_RS07245,TCARB_RS07245,TCARB_1522,-,-,-,AAA family ATPase,protein-coding,-,-,-,AAA family ATPase,20201026,-
697581,25406922,TCARB_RS07250,TCARB_RS07250,TCARB_1523,-,-,-,replication factor C large subunit,protein-coding,-,-,-,replication factor C large subunit,20201026,-
697581,25406923,TCARB_RS07255,TCARB_RS07255,TCARB_1524,-,-,-,replication factor C small subunit,protein-coding,-,-,-,replication factor C small subunit,20200829,-
697581,25406924,TCARB_RS07260,TCARB_RS07260,TCARB_1525,-,-,-,30S ribosomal protein S7,protein-coding,-,-,-,30S ribosomal protein S7,20200829,-
697581,25406925,TCARB_RS07265,TCARB_RS07265,TCARB_1526,-,-,-,RtcB family protein,protein-coding,-,-,-,RtcB family protein,20201026,-
697581,25406926,TCARB_RS07270,TCARB_RS07270,TCARB_1527,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20200829,-
697581,25406927,TCARB_RS07275,TCARB_RS07275,TCARB_1528,-,-,-,archease,protein-coding,-,-,-,archease,20200829,-
697581,25406928,TCARB_RS07280,TCARB_RS07280,TCARB_1529,-,-,-,type 2 isopentenyl-diphosphate Delta-isomerase,protein-coding,-,-,-,type 2 isopentenyl-diphosphate Delta-isomerase,20200829,-
697581,25406929,amrB,TCARB_RS07285,TCARB_1530,-,-,-,AmmeMemoRadiSam system protein B,protein-coding,-,-,-,AmmeMemoRadiSam system protein B,20200829,-
697581,25406930,TCARB_RS07290,TCARB_RS07290,TCARB_1531,-,-,-,30S ribosomal protein S2,protein-coding,-,-,-,30S ribosomal protein S2,20200919,-
697581,25406931,TCARB_RS07295,TCARB_RS07295,TCARB_1977,-,-,-,-,tRNA,-,-,-,-,20200829,-
697581,25406932,TCARB_RS07300,TCARB_RS07300,TCARB_1532,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25406933,TCARB_RS07305,TCARB_RS07305,TCARB_1533,-,-,-,DNA-directed RNA polymerase subunit N,protein-coding,-,-,-,DNA-directed RNA polymerase subunit N,20200829,-
697581,25406934,TCARB_RS07310,TCARB_RS07310,TCARB_1534,-,-,-,30S ribosomal protein S9,protein-coding,-,-,-,30S ribosomal protein S9,20200829,-
697581,25406935,TCARB_RS07315,TCARB_RS07315,TCARB_1535,-,-,-,50S ribosomal protein L13,protein-coding,-,-,-,50S ribosomal protein L13,20201026,-
697581,25406936,TCARB_RS07320,TCARB_RS07320,TCARB_1536,-,-,-,50S ribosomal protein L18e,protein-coding,-,-,-,50S ribosomal protein L18e,20200829,-
697581,25406937,TCARB_RS07325,TCARB_RS07325,TCARB_1537,-,-,-,DNA-directed RNA polymerase subunit D,protein-coding,-,-,-,DNA-directed RNA polymerase subunit D,20201026,-
697581,25406938,TCARB_RS07330,TCARB_RS07330,TCARB_1538,-,-,-,30S ribosomal protein S12,protein-coding,-,-,-,30S ribosomal protein S12,20200829,-
697581,25406939,TCARB_RS07335,TCARB_RS07335,TCARB_1539,-,-,-,NusA-like transcription termination signal-binding factor,protein-coding,-,-,-,NusA-like transcription termination signal-binding factor,20201026,-
697581,25406940,TCARB_RS07340,TCARB_RS07340,TCARB_1540,-,-,-,50S ribosomal protein L30e,protein-coding,-,-,-,50S ribosomal protein L30e,20200829,-
697581,25406941,rpoA2,TCARB_RS07345,TCARB_1541,-,-,-,DNA-directed RNA polymerase subunit A'',protein-coding,-,-,-,DNA-directed RNA polymerase subunit A'',20201026,-
697581,25406942,TCARB_RS07350,TCARB_RS07350,TCARB_1542,-,-,-,DNA-directed RNA polymerase subunit A',protein-coding,-,-,-,DNA-directed RNA polymerase subunit A',20200829,-
697581,25406943,TCARB_RS07355,TCARB_RS07355,TCARB_1543,-,-,-,DNA-directed RNA polymerase subunit B,protein-coding,-,-,-,DNA-directed RNA polymerase subunit B,20201026,-
697581,25406944,TCARB_RS07360,TCARB_RS07360,TCARB_1544,-,-,-,DNA-directed RNA polymerase subunit H,protein-coding,-,-,-,DNA-directed RNA polymerase subunit H,20200829,-
697581,25406945,TCARB_RS07365,TCARB_RS07365,TCARB_1978,-,-,-,-,tRNA,-,-,-,-,20200829,-
697581,25406946,TCARB_RS07370,TCARB_RS07370,TCARB_1979,-,-,-,-,tRNA,-,-,-,-,20200829,-
697581,25406947,TCARB_RS07375,TCARB_RS07375,TCARB_1545,-,-,-,glycine--tRNA ligase,protein-coding,-,-,-,glycine--tRNA ligase,20210529,-
697581,25406948,TCARB_RS07380,TCARB_RS07380,TCARB_1980,-,-,-,-,tRNA,-,-,-,-,20200829,-
697581,25406949,TCARB_RS07385,TCARB_RS07385,TCARB_1546,-,-,-,PIN domain-containing protein,protein-coding,-,-,-,PIN domain-containing protein,20200829,-
697581,25406950,TCARB_RS07390,TCARB_RS07390,TCARB_1547,-,-,-,"ribbon-helix-helix protein, CopG family",protein-coding,-,-,-,"ribbon-helix-helix protein, CopG family",20200919,-
697581,25406951,TCARB_RS07395,TCARB_RS07395,TCARB_1548,-,-,-,arcadin 1,protein-coding,-,-,-,arcadin 1,20201217,-
697581,25406952,TCARB_RS07400,TCARB_RS07400,TCARB_1549,-,-,-,DNA-directed RNA polymerase subunit K,protein-coding,-,-,-,DNA-directed RNA polymerase subunit K,20200829,-
697581,25406953,TCARB_RS07405,TCARB_RS07405,TCARB_1550,-,-,-,TCP-1/cpn60 chaperonin family protein,protein-coding,-,-,-,TCP-1/cpn60 chaperonin family protein,20201026,-
697581,25406954,TCARB_RS07410,TCARB_RS07410,TCARB_1551,-,-,-,signal peptidase I,protein-coding,-,-,-,signal peptidase I,20201026,-
697581,25406955,TCARB_RS07415,TCARB_RS07415,TCARB_1552,-,-,-,TATA-box-binding protein,protein-coding,-,-,-,TATA-box-binding protein,20200919,-
697581,25406956,rimI,TCARB_RS07420,TCARB_1553,-,-,-,ribosomal protein S18-alanine N-acetyltransferase,protein-coding,-,-,-,ribosomal protein S18-alanine N-acetyltransferase,20210529,-
697581,25406957,TCARB_RS07425,TCARB_RS07425,TCARB_1554,-,-,-,ABC transporter substrate-binding protein,protein-coding,-,-,-,ABC transporter substrate-binding protein,20201026,-
697581,25406959,TCARB_RS07435,TCARB_RS07435,TCARB_1556,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25406960,TCARB_RS07440,TCARB_RS07440,TCARB_1557,-,-,-,DNA-directed DNA polymerase I,protein-coding,-,-,-,DNA-directed DNA polymerase I,20200829,-
697581,25406961,TCARB_RS07445,TCARB_RS07445,TCARB_1558,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25406962,TCARB_RS07450,TCARB_RS07450,TCARB_1559,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25406963,TCARB_RS07455,TCARB_RS07455,TCARB_1981,-,-,-,-,tRNA,-,-,-,-,20200829,-
697581,25406965,TCARB_RS07465,TCARB_RS07465,TCARB_1561,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25406966,TCARB_RS07470,TCARB_RS07470,TCARB_1562,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25406967,TCARB_RS07475,TCARB_RS07475,TCARB_1563,-,-,-,AAA family ATPase,protein-coding,-,-,-,AAA family ATPase,20201217,-
697581,25406969,TCARB_RS07485,TCARB_RS07485,TCARB_1982,-,-,-,-,tRNA,-,-,-,-,20200829,-
697581,25406970,TCARB_RS07490,TCARB_RS07490,TCARB_1983,-,-,-,-,tRNA,-,-,-,-,20200829,-
697581,25406971,TCARB_RS07495,TCARB_RS07495,TCARB_1566,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25406972,TCARB_RS07500,TCARB_RS07500,TCARB_1567,-,-,-,DUF433 domain-containing protein,protein-coding,-,-,-,DUF433 domain-containing protein,20201026,-
697581,25406973,TCARB_RS07505,TCARB_RS07505,TCARB_1568,-,-,-,ParA family protein,protein-coding,-,-,-,ParA family protein,20200829,-
697581,25406974,TCARB_RS07510,TCARB_RS07510,TCARB_1569,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25406975,TCARB_RS07515,TCARB_RS07515,TCARB_1570,-,-,-,DUF371 domain-containing protein,protein-coding,-,-,-,DUF371 domain-containing protein,20200829,-
697581,25406976,TCARB_RS07520,TCARB_RS07520,TCARB_1571,-,-,-,flap endonuclease-1,protein-coding,-,-,-,flap endonuclease-1,20201026,-
697581,25406977,TCARB_RS07525,TCARB_RS07525,TCARB_1572,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25406978,TCARB_RS07530,TCARB_RS07530,TCARB_1573,-,-,-,CDC48 family AAA ATPase,protein-coding,-,-,-,CDC48 family AAA ATPase,20201217,-
697581,25406979,TCARB_RS07535,TCARB_RS07535,TCARB_1574,-,-,-,peptidylprolyl isomerase,protein-coding,-,-,-,peptidylprolyl isomerase,20200829,-
697581,25406980,TCARB_RS07540,TCARB_RS07540,-,-,-,-,UPF0179 family protein,protein-coding,-,-,-,UPF0179 family protein,20210529,-
697581,25406981,TCARB_RS07545,TCARB_RS07545,TCARB_1576,-,-,-,translation initiation factor IF-2 subunit gamma,protein-coding,-,-,-,translation initiation factor IF-2 subunit gamma,20201026,-
697581,25406982,psmB,TCARB_RS07550,TCARB_1577,-,-,-,archaeal proteasome endopeptidase complex subunit beta,protein-coding,-,-,-,archaeal proteasome endopeptidase complex subunit beta,20201026,-
697581,25406983,TCARB_RS07555,TCARB_RS07555,TCARB_1578,-,-,-,beta-CASP ribonuclease aCPSF1,protein-coding,-,-,-,beta-CASP ribonuclease aCPSF1,20200919,-
697581,25406984,TCARB_RS07560,TCARB_RS07560,-,-,-,-,DUF1947 domain-containing protein,protein-coding,-,-,-,DUF1947 domain-containing protein,20201026,-
697581,25406985,TCARB_RS07565,TCARB_RS07565,TCARB_1580,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25406986,TCARB_RS07570,TCARB_RS07570,TCARB_1581,-,-,-,molybdenum cofactor biosynthesis protein MoaB,protein-coding,-,-,-,molybdenum cofactor biosynthesis protein MoaB,20200919,-
697581,25406987,moaC,TCARB_RS07575,TCARB_1582,-,-,-,cyclic pyranopterin monophosphate synthase MoaC,protein-coding,-,-,-,cyclic pyranopterin monophosphate synthase MoaC,20200829,-
697581,25406988,TCARB_RS07580,TCARB_RS07580,TCARB_1583,-,-,-,molybdenum cofactor biosynthesis protein MoaE,protein-coding,-,-,-,molybdenum cofactor biosynthesis protein MoaE,20200829,-
697581,25406989,TCARB_RS07585,TCARB_RS07585,TCARB_1584,-,-,-,MoaD/ThiS family protein,protein-coding,-,-,-,MoaD/ThiS family protein,20200829,-
697581,25406990,TCARB_RS07590,TCARB_RS07590,TCARB_1585,-,-,-,M20 family metallopeptidase,protein-coding,-,-,-,M20 family metallopeptidase,20200829,-
697581,25406991,TCARB_RS07595,TCARB_RS07595,TCARB_1586,-,-,-,ribose-phosphate diphosphokinase,protein-coding,-,-,-,ribose-phosphate diphosphokinase,20200829,-
697581,25406993,hypF,TCARB_RS07605,TCARB_1588,-,-,-,carbamoyltransferase HypF,protein-coding,-,-,-,carbamoyltransferase HypF,20200829,-
697581,25406994,TCARB_RS07610,TCARB_RS07610,TCARB_1589,-,-,-,Zn-dependent exopeptidase M28,protein-coding,-,-,-,Zn-dependent exopeptidase M28,20200829,-
697581,25406995,thiI,TCARB_RS07615,TCARB_1590,-,-,-,tRNA 4-thiouridine(8) synthase ThiI,protein-coding,-,-,-,tRNA 4-thiouridine(8) synthase ThiI,20200829,-
697581,25406996,TCARB_RS07620,TCARB_RS07620,TCARB_1592,-,-,-,50S ribosomal protein L35ae,protein-coding,-,-,-,50S ribosomal protein L35ae,20210424,-
697581,25406997,TCARB_RS07625,TCARB_RS07625,TCARB_1594,-,-,-,ASCH domain-containing protein,protein-coding,-,-,-,ASCH domain-containing protein,20200829,-
697581,25406998,TCARB_RS07630,TCARB_RS07630,TCARB_1595,-,-,-,valine--tRNA ligase,protein-coding,-,-,-,valine--tRNA ligase,20200829,-
697581,25406999,TCARB_RS07635,TCARB_RS07635,TCARB_1596,-,-,-,thioredoxin family protein,protein-coding,-,-,-,thioredoxin family protein,20200829,-
697581,25407000,rpiA,TCARB_RS07640,TCARB_1597,-,-,-,ribose 5-phosphate isomerase A,protein-coding,-,-,-,ribose 5-phosphate isomerase A,20200829,-
697581,25407001,TCARB_RS07645,TCARB_RS07645,TCARB_1598,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
697581,25407002,TCARB_RS07650,TCARB_RS07650,TCARB_1600,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25407003,pyk,TCARB_RS07655,TCARB_1601,-,-,-,pyruvate kinase,protein-coding,-,-,-,pyruvate kinase,20200829,-
697581,25407004,TCARB_RS07660,TCARB_RS07660,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25407005,TCARB_RS07665,TCARB_RS07665,-,-,-,-,DEAD/DEAH box helicase,protein-coding,-,-,-,DEAD/DEAH box helicase,20200919,-
697581,25407006,TCARB_RS07670,TCARB_RS07670,TCARB_1604,-,-,-,VTT domain-containing protein,protein-coding,-,-,-,VTT domain-containing protein,20200829,-
697581,25407007,TCARB_RS07675,TCARB_RS07675,TCARB_1605,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25407008,TCARB_RS07680,TCARB_RS07680,TCARB_1606,-,-,-,metallophosphoesterase,protein-coding,-,-,-,metallophosphoesterase,20200829,-
697581,25407009,TCARB_RS07685,TCARB_RS07685,TCARB_1607,-,-,-,anaerobic ribonucleoside triphosphate reductase,protein-coding,-,-,-,anaerobic ribonucleoside triphosphate reductase,20200829,-
697581,25407010,TCARB_RS07690,TCARB_RS07690,TCARB_1608,-,-,-,CoA-binding protein,protein-coding,-,-,-,CoA-binding protein,20200829,-
697581,25407011,TCARB_RS07695,TCARB_RS07695,TCARB_1609,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25407012,TCARB_RS07700,TCARB_RS07700,TCARB_1610,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25407013,TCARB_RS07705,TCARB_RS07705,TCARB_1611,-,-,-,V-type ATPase subunit,protein-coding,-,-,-,V-type ATPase subunit,20200829,-
697581,25407014,TCARB_RS07710,TCARB_RS07710,TCARB_1612,-,-,-,V-type ATP synthase subunit D,protein-coding,-,-,-,V-type ATP synthase subunit D,20210529,-
697581,25407015,TCARB_RS07715,TCARB_RS07715,TCARB_1613,-,-,-,V-type ATP synthase subunit B,protein-coding,-,-,-,V-type ATP synthase subunit B,20200919,-
697581,25407016,TCARB_RS07720,TCARB_RS07720,TCARB_1614,-,-,-,V-type ATP synthase subunit A,protein-coding,-,-,-,V-type ATP synthase subunit A,20200829,-
697581,25407017,TCARB_RS07725,TCARB_RS07725,TCARB_1615,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25407018,TCARB_RS07730,TCARB_RS07730,TCARB_1616,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25407019,TCARB_RS07735,TCARB_RS07735,TCARB_1617,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25407020,TCARB_RS07740,TCARB_RS07740,TCARB_1618,-,-,-,M56 family metallopeptidase,protein-coding,-,-,-,M56 family metallopeptidase,20200829,-
697581,25407021,TCARB_RS07745,TCARB_RS07745,TCARB_1619,-,-,-,carboxypeptidase regulatory-like domain-containing protein,protein-coding,-,-,-,carboxypeptidase regulatory-like domain-containing protein,20200829,-
697581,25407022,TCARB_RS07750,TCARB_RS07750,-,-,-,-,-,tRNA,-,-,-,-,20200829,-
697581,25407023,TCARB_RS07755,TCARB_RS07755,TCARB_1984,-,-,-,-,tRNA,-,-,-,-,20200829,-
697581,25407024,TCARB_RS07760,TCARB_RS07760,-,-,-,-,histone family protein,protein-coding,-,-,-,histone family protein,20200829,-
697581,25407025,TCARB_RS07765,TCARB_RS07765,TCARB_1621,-,-,-,30S ribosomal protein S17e,protein-coding,-,-,-,30S ribosomal protein S17e,20200829,-
697581,25407026,TCARB_RS07770,TCARB_RS07770,TCARB_1622,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25407027,TCARB_RS07775,TCARB_RS07775,TCARB_1623,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25407028,TCARB_RS07780,TCARB_RS07780,TCARB_1624,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25407029,TCARB_RS07785,TCARB_RS07785,TCARB_1625,-,-,-,DUF655 domain-containing protein,protein-coding,-,-,-,DUF655 domain-containing protein,20201217,-
697581,25407030,TCARB_RS07790,TCARB_RS07790,TCARB_1626,-,-,-,tRNA pseudouridine(54/55) synthase Pus10,protein-coding,-,-,-,tRNA pseudouridine(54/55) synthase Pus10,20200829,-
697581,25407031,TCARB_RS07795,TCARB_RS07795,TCARB_1627,-,-,-,50S ribosomal protein L21e,protein-coding,-,-,-,50S ribosomal protein L21e,20200829,-
697581,25407032,tgtA,TCARB_RS07800,TCARB_1628,-,-,-,tRNA guanosine(15) transglycosylase TgtA,protein-coding,-,-,-,tRNA guanosine(15) transglycosylase TgtA,20210529,-
697581,25407033,TCARB_RS07805,TCARB_RS07805,TCARB_1629,-,-,-,proteasome assembly chaperone family protein,protein-coding,-,-,-,proteasome assembly chaperone family protein,20200829,-
697581,25407034,TCARB_RS07810,TCARB_RS07810,TCARB_1630,-,-,-,30S ribosomal protein S8e,protein-coding,-,-,-,30S ribosomal protein S8e,20201026,-
697581,25407035,TCARB_RS07815,TCARB_RS07815,TCARB_1631,-,-,-,signal recognition particle subunit SRP19/SEC65 family protein,protein-coding,-,-,-,signal recognition particle subunit SRP19/SEC65 family protein,20201026,-
697581,25407036,gatE,TCARB_RS07820,TCARB_1632,-,-,-,Glu-tRNA(Gln) amidotransferase subunit GatE,protein-coding,-,-,-,Glu-tRNA(Gln) amidotransferase subunit GatE,20201026,-
697581,25407037,gatD,TCARB_RS07825,TCARB_1633,-,-,-,Glu-tRNA(Gln) amidotransferase subunit GatD,protein-coding,-,-,-,Glu-tRNA(Gln) amidotransferase subunit GatD,20201026,-
697581,25407038,TCARB_RS07830,TCARB_RS07830,TCARB_1634,-,-,-,30S ribosomal protein S30e,protein-coding,-,-,-,30S ribosomal protein S30e,20201026,-
697581,25407039,TCARB_RS07835,TCARB_RS07835,TCARB_1635,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201026,-
697581,25407040,TCARB_RS07840,TCARB_RS07840,TCARB_1636,-,-,-,DNA-directed RNA polymerase subunit L,protein-coding,-,-,-,DNA-directed RNA polymerase subunit L,20201217,-
697581,25407041,TCARB_RS07845,TCARB_RS07845,TCARB_1637,-,-,-,class I SAM-dependent methyltransferase,protein-coding,-,-,-,class I SAM-dependent methyltransferase,20201026,-
697581,25407042,TCARB_RS07850,TCARB_RS07850,TCARB_1638,-,-,-,Lrp/AsnC ligand binding domain-containing protein,protein-coding,-,-,-,Lrp/AsnC ligand binding domain-containing protein,20201217,-
697581,25407043,TCARB_RS07855,TCARB_RS07855,TCARB_1639,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25407044,cca,TCARB_RS07860,TCARB_1640,-,-,-,CCA tRNA nucleotidyltransferase,protein-coding,-,-,-,CCA tRNA nucleotidyltransferase,20201026,-
697581,25407045,thpR,TCARB_RS07865,TCARB_1641,-,-,-,"RNA 2',3'-cyclic phosphodiesterase",protein-coding,-,-,-,"RNA 2',3'-cyclic phosphodiesterase",20201026,-
697581,25407046,TCARB_RS07870,TCARB_RS07870,TCARB_1642,-,-,-,winged helix DNA-binding protein,protein-coding,-,-,-,winged helix DNA-binding protein,20201026,-
697581,25407047,TCARB_RS07875,TCARB_RS07875,TCARB_1643,-,-,-,ATP/GTP-binding protein,protein-coding,-,-,-,ATP/GTP-binding protein,20201026,-
697581,25407048,TCARB_RS07880,TCARB_RS07880,TCARB_1644,-,-,-,orotidine 5'-phosphate decarboxylase,protein-coding,-,-,-,orotidine 5'-phosphate decarboxylase,20201026,-
697581,25407049,TCARB_RS07885,TCARB_RS07885,TCARB_1645,-,-,-,DUF4763 domain-containing protein,protein-coding,-,-,-,DUF4763 domain-containing protein,20201026,-
697581,25407050,TCARB_RS07890,TCARB_RS07890,TCARB_1646,-,-,-,transcription initiation factor IIB family protein,protein-coding,-,-,-,transcription initiation factor IIB family protein,20201026,-
697581,25407051,TCARB_RS07895,TCARB_RS07895,TCARB_1647,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25407052,TCARB_RS07900,TCARB_RS07900,TCARB_1648,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201026,-
697581,25407053,TCARB_RS07905,TCARB_RS07905,TCARB_1649,-,-,-,fibrillarin-like rRNA/tRNA 2'-O-methyltransferase,protein-coding,-,-,-,fibrillarin-like rRNA/tRNA 2'-O-methyltransferase,20201026,-
697581,25407054,TCARB_RS07910,TCARB_RS07910,TCARB_1650,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20200829,-
697581,25407055,TCARB_RS07915,TCARB_RS07915,TCARB_1651,-,-,-,tRNA (guanine(10)-N(2))-dimethyltransferase,protein-coding,-,-,-,tRNA (guanine(10)-N(2))-dimethyltransferase,20200829,-
697581,25407056,TCARB_RS07920,TCARB_RS07920,TCARB_1652,-,-,-,translation initiation factor IF-2 subunit beta,protein-coding,-,-,-,translation initiation factor IF-2 subunit beta,20201026,-
697581,25407057,TCARB_RS07925,TCARB_RS07925,TCARB_1653,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
697581,25407058,TCARB_RS07930,TCARB_RS07930,TCARB_1654,-,-,-,phosphoribosyltransferase,protein-coding,-,-,-,phosphoribosyltransferase,20200829,-
697581,25407059,TCARB_RS07935,TCARB_RS07935,TCARB_1655,-,-,-,"ribose 1,5-bisphosphate isomerase",protein-coding,-,-,-,"ribose 1,5-bisphosphate isomerase",20201026,-
697581,25407060,TCARB_RS07940,TCARB_RS07940,TCARB_1656,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201026,-
697581,25407061,prs,TCARB_RS07945,TCARB_1657,-,-,-,ribose-phosphate diphosphokinase,protein-coding,-,-,-,ribose-phosphate diphosphokinase,20201026,-
697581,25407062,TCARB_RS07950,TCARB_RS07950,TCARB_1658,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201026,-
697581,25407063,TCARB_RS07955,TCARB_RS07955,TCARB_1659,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201026,-
697581,25407064,TCARB_RS07960,TCARB_RS07960,TCARB_1660,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201026,-
697581,25407065,TCARB_RS07965,TCARB_RS07965,TCARB_1661,-,-,-,50S ribosomal protein L15e,protein-coding,-,-,-,50S ribosomal protein L15e,20200829,-
697581,25407066,TCARB_RS07970,TCARB_RS07970,TCARB_1662,-,-,-,50S ribosome-binding GTPase,protein-coding,-,-,-,50S ribosome-binding GTPase,20201026,-
697581,25407067,psmB,TCARB_RS07975,TCARB_1663,-,-,-,archaeal proteasome endopeptidase complex subunit beta,protein-coding,-,-,-,archaeal proteasome endopeptidase complex subunit beta,20201026,-
697581,25407068,TCARB_RS07980,TCARB_RS07980,TCARB_1664,-,-,-,DNA polymerase II,protein-coding,-,-,-,DNA polymerase II,20200829,-
697581,25407069,TCARB_RS07985,TCARB_RS07985,TCARB_1665,-,-,-,DUF47 family protein,protein-coding,-,-,-,DUF47 family protein,20201026,-
697581,25407070,TCARB_RS07990,TCARB_RS07990,TCARB_1666,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201026,-
697581,25407071,TCARB_RS07995,TCARB_RS07995,TCARB_1667,-,-,-,DUF87 domain-containing protein,protein-coding,-,-,-,DUF87 domain-containing protein,20201026,-
