#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1033806,16545868,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Halorhabdus tiamatea JCM 14471; Halorhabdus tiamatea str. SARL4B; Halorhabdus tiamatea strain SARL4B).,other,-,-,-,-,20180801,-
1033806,23800271,HTIA_RS05800,HTIA_RS05800,HTIA_1171,-,I,-,TrkA family potassium uptake protein,protein-coding,-,-,-,TrkA family potassium uptake protein,20210312,-
1033806,23800272,HTIA_RS05795,HTIA_RS05795,HTIA_1170,-,I,-,Lrp/AsnC ligand binding domain-containing protein,protein-coding,-,-,-,Lrp/AsnC ligand binding domain-containing protein,20210312,-
1033806,23800273,HTIA_RS05790,HTIA_RS05790,HTIA_1169,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23800274,radA,HTIA_RS05785,HTIA_1168,-,I,-,DNA repair and recombination protein RadA,protein-coding,-,-,-,DNA repair and recombination protein RadA,20210312,-
1033806,23800275,HTIA_RS05780,HTIA_RS05780,HTIA_1167,-,I,-,RNA-processing protein,protein-coding,-,-,-,RNA-processing protein,20210312,-
1033806,23800276,HTIA_RS05775,HTIA_RS05775,HTIA_1166,-,I,-,thermosome subunit,protein-coding,-,-,-,thermosome subunit,20210312,-
1033806,23800278,HTIA_RS05765,HTIA_RS05765,HTIA_1165,-,I,-,protein kinase,protein-coding,-,-,-,protein kinase,20210312,-
1033806,23800279,pheA,HTIA_RS05760,HTIA_1164,-,I,-,prephenate dehydratase,protein-coding,-,-,-,prephenate dehydratase,20210312,-
1033806,23800280,HTIA_RS05755,HTIA_RS05755,HTIA_1163,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23800281,HTIA_RS05750,HTIA_RS05750,HTIA_1162,-,I,-,ABC transporter ATP-binding protein,protein-coding,-,-,-,ABC transporter ATP-binding protein,20210312,-
1033806,23800282,ffh,HTIA_RS05745,HTIA_1161,-,I,-,signal recognition particle protein,protein-coding,-,-,-,signal recognition particle protein,20210312,-
1033806,23800283,HTIA_RS05740,HTIA_RS05740,HTIA_1160,-,I,-,pyridoxal-phosphate dependent enzyme,protein-coding,-,-,-,pyridoxal-phosphate dependent enzyme,20210312,-
1033806,23800284,HTIA_RS05735,HTIA_RS05735,HTIA_1159,-,I,-,antibiotic biosynthesis monooxygenase,protein-coding,-,-,-,antibiotic biosynthesis monooxygenase,20210312,-
1033806,23800285,HTIA_RS05730,HTIA_RS05730,HTIA_1158,-,I,-,PQQ-binding-like beta-propeller repeat protein,protein-coding,-,-,-,PQQ-binding-like beta-propeller repeat protein,20210312,-
1033806,23800286,HTIA_RS05725,HTIA_RS05725,HTIA_1157,-,I,-,succinylglutamate desuccinylase/aspartoacylase family protein,protein-coding,-,-,-,succinylglutamate desuccinylase/aspartoacylase family protein,20210312,-
1033806,23800287,HTIA_RS05720,HTIA_RS05720,HTIA_1156,-,I,-,winged helix-turn-helix transcriptional regulator,protein-coding,-,-,-,winged helix-turn-helix transcriptional regulator,20210312,-
1033806,23800288,HTIA_RS05715,HTIA_RS05715,HTIA_1155,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23800289,HTIA_RS05710,HTIA_RS05710,HTIA_1154,-,I,-,FAD-dependent oxidoreductase,protein-coding,-,-,-,FAD-dependent oxidoreductase,20210605,-
1033806,23800290,HTIA_RS05705,HTIA_RS05705,HTIA_1153,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23800291,HTIA_RS05700,HTIA_RS05700,HTIA_1152,-,I,-,TATA-box-binding protein,protein-coding,-,-,-,TATA-box-binding protein,20210312,-
1033806,23800292,HTIA_RS05695,HTIA_RS05695,HTIA_1151,-,I,-,methyltransferase domain-containing protein,protein-coding,-,-,-,methyltransferase domain-containing protein,20210312,-
1033806,23800293,HTIA_RS05690,HTIA_RS05690,HTIA_1149,-,I,-,radical SAM protein,protein-coding,-,-,-,radical SAM protein,20210312,-
1033806,23800294,HTIA_RS05685,HTIA_RS05685,HTIA_1148,-,I,-,inositol phosphorylceramide synthase,protein-coding,-,-,-,inositol phosphorylceramide synthase,20210312,-
1033806,23800295,HTIA_RS05680,HTIA_RS05680,HTIA_1147,-,I,-,ABC transporter substrate-binding protein,protein-coding,-,-,-,ABC transporter substrate-binding protein,20210312,-
1033806,23800296,HTIA_RS05675,HTIA_RS05675,HTIA_1146,-,I,-,aspartate kinase,protein-coding,-,-,-,aspartate kinase,20210312,-
1033806,23800297,HTIA_RS05670,HTIA_RS05670,HTIA_1145,-,I,-,NUDIX hydrolase,protein-coding,-,-,-,NUDIX hydrolase,20210312,-
1033806,23800298,HTIA_RS05665,HTIA_RS05665,HTIA_1144,-,I,-,DoxX family membrane protein,protein-coding,-,-,-,DoxX family membrane protein,20210312,-
1033806,23800299,HTIA_RS05660,HTIA_RS05660,HTIA_1143,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23800300,HTIA_RS05655,HTIA_RS05655,HTIA_1142,-,I,-,cysteine desulfurase,protein-coding,-,-,-,cysteine desulfurase,20210312,-
1033806,23800301,HTIA_RS05650,HTIA_RS05650,HTIA_1141,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23800302,HTIA_RS05645,HTIA_RS05645,HTIA_1140,-,I,-,SUF system NifU family Fe-S cluster assembly protein,protein-coding,-,-,-,SUF system NifU family Fe-S cluster assembly protein,20210312,-
1033806,23800303,HTIA_RS05640,HTIA_RS05640,HTIA_1139,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23800304,HTIA_RS05635,HTIA_RS05635,HTIA_1138,-,I,-,heme-binding protein,protein-coding,-,-,-,heme-binding protein,20210312,-
1033806,23800305,HTIA_RS05630,HTIA_RS05630,HTIA_1137,-,I,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20210312,-
1033806,23800306,HTIA_RS05625,HTIA_RS05625,HTIA_1136,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23800307,HTIA_RS05620,HTIA_RS05620,HTIA_1135,-,I,-,transcription initiation factor IIB,protein-coding,-,-,-,transcription initiation factor IIB,20210312,-
1033806,23800308,HTIA_RS05615,HTIA_RS05615,HTIA_1134,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23800309,HTIA_RS05610,HTIA_RS05610,HTIA_1133,-,I,-,TrkH family potassium uptake protein,protein-coding,-,-,-,TrkH family potassium uptake protein,20210312,-
1033806,23800310,HTIA_RS05605,HTIA_RS05605,HTIA_1132,-,I,-,TrkA family potassium uptake protein,protein-coding,-,-,-,TrkA family potassium uptake protein,20210312,-
1033806,23800312,HTIA_RS05595,HTIA_RS05595,HTIA_1130,-,I,-,universal stress protein UspA,protein-coding,-,-,-,universal stress protein UspA,20210312,-
1033806,23800313,HTIA_RS05590,HTIA_RS05590,HTIA_1129,-,I,-,TrkA family potassium uptake protein,protein-coding,-,-,-,TrkA family potassium uptake protein,20210312,-
1033806,23800314,HTIA_RS05585,HTIA_RS05585,HTIA_1128,-,I,-,TrkH family potassium uptake protein,protein-coding,-,-,-,TrkH family potassium uptake protein,20210312,-
1033806,23800315,HTIA_RS05580,HTIA_RS05580,HTIA_1127,-,I,-,TrkA family potassium uptake protein,protein-coding,-,-,-,TrkA family potassium uptake protein,20210312,-
1033806,23800316,HTIA_RS05575,HTIA_RS05575,HTIA_1126,-,I,-,winged helix-turn-helix transcriptional regulator,protein-coding,-,-,-,winged helix-turn-helix transcriptional regulator,20210312,-
1033806,23800317,HTIA_RS05570,HTIA_RS05570,HTIA_1125,-,I,-,ribonuclease HI family protein,protein-coding,-,-,-,ribonuclease HI family protein,20210312,-
1033806,23800318,HTIA_RS05565,HTIA_RS05565,HTIA_1124,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23800319,HTIA_RS05560,HTIA_RS05560,HTIA_1123,-,I,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20210312,-
1033806,23800320,HTIA_RS05555,HTIA_RS05555,HTIA_1122,-,I,-,inorganic diphosphatase,protein-coding,-,-,-,inorganic diphosphatase,20210312,-
1033806,23800321,HTIA_RS05550,HTIA_RS05550,HTIA_1120,-,I,-,alkaline phosphatase family protein,protein-coding,-,-,-,alkaline phosphatase family protein,20210312,-
1033806,23800323,HTIA_RS05540,HTIA_RS05540,-,-,I,-,cell division protein,protein-coding,-,-,-,cell division protein,20210312,-
1033806,23800324,HTIA_RS05535,HTIA_RS05535,HTIA_1119,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23800325,HTIA_RS05530,HTIA_RS05530,HTIA_1118,-,I,-,SDR family oxidoreductase,protein-coding,-,-,-,SDR family oxidoreductase,20210312,-
1033806,23800326,HTIA_RS05525,HTIA_RS05525,HTIA_1117,-,I,-,bifunctional oligoribonuclease/PAP phosphatase NrnA,protein-coding,-,-,-,bifunctional oligoribonuclease/PAP phosphatase NrnA,20210312,-
1033806,23800327,HTIA_RS05520,HTIA_RS05520,HTIA_1115,-,I,-,glycosyl transferase family 2,protein-coding,-,-,-,glycosyl transferase family 2,20210312,-
1033806,23800328,HTIA_RS05515,HTIA_RS05515,HTIA_1114,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23800329,HTIA_RS05510,HTIA_RS05510,HTIA_1113,-,I,-,CoA pyrophosphatase,protein-coding,-,-,-,CoA pyrophosphatase,20210312,-
1033806,23800330,HTIA_RS05505,HTIA_RS05505,HTIA_1112,-,I,-,Hsp20 family protein,protein-coding,-,-,-,Hsp20 family protein,20210312,-
1033806,23800331,HTIA_RS05500,HTIA_RS05500,HTIA_1111,-,I,-,radical SAM protein,protein-coding,-,-,-,radical SAM protein,20210312,-
1033806,23800332,HTIA_RS05495,HTIA_RS05495,HTIA_1110,-,I,-,MFS transporter,protein-coding,-,-,-,MFS transporter,20210312,-
1033806,23800333,HTIA_RS05490,HTIA_RS05490,HTIA_1109,-,I,-,flippase-like domain-containing protein,protein-coding,-,-,-,flippase-like domain-containing protein,20210312,-
1033806,23800334,HTIA_RS05485,HTIA_RS05485,HTIA_1108,-,I,-,transcription initiation factor IIB,protein-coding,-,-,-,transcription initiation factor IIB,20210312,-
1033806,23800335,HTIA_RS05480,HTIA_RS05480,HTIA_1107,-,I,-,methyl-accepting chemotaxis protein,protein-coding,-,-,-,methyl-accepting chemotaxis protein,20210312,-
1033806,23800336,HTIA_RS05475,HTIA_RS05475,HTIA_1106,-,I,-,site-specific DNA-methyltransferase,protein-coding,-,-,-,site-specific DNA-methyltransferase,20210312,-
1033806,23800337,HTIA_RS05470,HTIA_RS05470,HTIA_1105,-,I,-,MarR family transcriptional regulator,protein-coding,-,-,-,MarR family transcriptional regulator,20210312,-
1033806,23800338,HTIA_RS05465,HTIA_RS05465,HTIA_1104,-,I,-,type I 3-dehydroquinate dehydratase,protein-coding,-,-,-,type I 3-dehydroquinate dehydratase,20210312,-
1033806,23800339,HTIA_RS05460,HTIA_RS05460,HTIA_1103,-,I,-,zinc ribbon domain-containing protein,protein-coding,-,-,-,zinc ribbon domain-containing protein,20210312,-
1033806,23800340,HTIA_RS05455,HTIA_RS05455,HTIA_1102,-,I,-,3-dehydroquinate synthase II,protein-coding,-,-,-,3-dehydroquinate synthase II,20210312,-
1033806,23800341,HTIA_RS05450,HTIA_RS05450,HTIA_1101,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23800342,HTIA_RS05445,HTIA_RS05445,HTIA_1100,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23800343,HTIA_RS05440,HTIA_RS05440,HTIA_1099,-,I,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20210424,-
1033806,23800344,HTIA_RS05435,HTIA_RS05435,HTIA_1098,-,I,-,class I fructose-bisphosphate aldolase family protein,protein-coding,-,-,-,class I fructose-bisphosphate aldolase family protein,20210312,-
1033806,23800345,HTIA_RS05430,HTIA_RS05430,HTIA_1096,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23800346,HTIA_RS05425,HTIA_RS05425,HTIA_1095,-,I,-,tryptophan synthase subunit alpha,protein-coding,-,-,-,tryptophan synthase subunit alpha,20210312,-
1033806,23800347,trpB,HTIA_RS05420,HTIA_1094,-,I,-,tryptophan synthase subunit beta,protein-coding,-,-,-,tryptophan synthase subunit beta,20210312,-
1033806,23800348,HTIA_RS05415,HTIA_RS05415,HTIA_1093,-,I,-,indole-3-glycerol-phosphate synthase,protein-coding,-,-,-,indole-3-glycerol-phosphate synthase,20210312,-
1033806,23800349,HTIA_RS05410,HTIA_RS05410,HTIA_1092,-,I,-,CopG family transcriptional regulator,protein-coding,-,-,-,CopG family transcriptional regulator,20210312,-
1033806,23800350,HTIA_RS05405,HTIA_RS05405,HTIA_1091,-,I,-,glycoside hydrolase family 3 C-terminal domain-containing protein,protein-coding,-,-,-,glycoside hydrolase family 3 C-terminal domain-containing protein,20210312,-
1033806,23800351,HTIA_RS05400,HTIA_RS05400,HTIA_1089,-,I,-,PIN domain-containing protein,protein-coding,-,-,-,PIN domain-containing protein,20210312,-
1033806,23800352,HTIA_RS05395,HTIA_RS05395,HTIA_1088,-,I,-,"ribbon-helix-helix protein, CopG family",protein-coding,-,-,-,"ribbon-helix-helix protein, CopG family",20210312,-
1033806,23800353,pepF,HTIA_RS05390,HTIA_1087,-,I,-,oligoendopeptidase F,protein-coding,-,-,-,oligoendopeptidase F,20210312,-
1033806,23800354,HTIA_RS05385,HTIA_RS05385,HTIA_1086,-,I,-,proteasome-activating nucleotidase,protein-coding,-,-,-,proteasome-activating nucleotidase,20210312,-
1033806,23800355,HTIA_RS05380,HTIA_RS05380,HTIA_1085,-,I,-,AbrB/MazE/SpoVT family DNA-binding domain-containing protein,protein-coding,-,-,-,AbrB/MazE/SpoVT family DNA-binding domain-containing protein,20210312,-
1033806,23800356,HTIA_RS05375,HTIA_RS05375,HTIA_1084,-,I,-,type II toxin-antitoxin system PemK/MazF family toxin,protein-coding,-,-,-,type II toxin-antitoxin system PemK/MazF family toxin,20210312,-
1033806,23800357,HTIA_RS05370,HTIA_RS05370,HTIA_1083,-,I,-,NOG1 family protein,protein-coding,-,-,-,NOG1 family protein,20210312,-
1033806,23800358,HTIA_RS05365,HTIA_RS05365,HTIA_1082,-,I,-,basic amino acid ABC transporter substrate-binding protein,protein-coding,-,-,-,basic amino acid ABC transporter substrate-binding protein,20210312,-
1033806,23800359,HTIA_RS05360,HTIA_RS05360,HTIA_1081,-,I,-,amino acid ABC transporter permease,protein-coding,-,-,-,amino acid ABC transporter permease,20210312,-
1033806,23800360,HTIA_RS05355,HTIA_RS05355,HTIA_1080,-,I,-,amino acid ABC transporter ATP-binding protein,protein-coding,-,-,-,amino acid ABC transporter ATP-binding protein,20210312,-
1033806,23800361,HTIA_RS05350,HTIA_RS05350,HTIA_1079,-,I,-,amino acid ABC transporter permease,protein-coding,-,-,-,amino acid ABC transporter permease,20210312,-
1033806,23800362,HTIA_RS05345,HTIA_RS05345,HTIA_1078,-,I,-,SIMPL domain-containing protein,protein-coding,-,-,-,SIMPL domain-containing protein,20210312,-
1033806,23800363,HTIA_RS05340,HTIA_RS05340,HTIA_1077,-,I,-,TIGR00341 family protein,protein-coding,-,-,-,TIGR00341 family protein,20210312,-
1033806,23800364,HTIA_RS05335,HTIA_RS05335,HTIA_1076,-,I,-,phosphoglycolate phosphatase,protein-coding,-,-,-,phosphoglycolate phosphatase,20210312,-
1033806,23800365,HTIA_RS05330,HTIA_RS05330,HTIA_1075,-,I,-,GTP-binding protein,protein-coding,-,-,-,GTP-binding protein,20210312,-
1033806,23800367,HTIA_RS05320,HTIA_RS05320,HTIA_1074,-,I,-,transposase,protein-coding,-,-,-,transposase,20210312,-
1033806,23800368,HTIA_RS05315,HTIA_RS05315,HTIA_1073,-,I,-,IclR family transcriptional regulator,protein-coding,-,-,-,IclR family transcriptional regulator,20210312,-
1033806,23800369,HTIA_RS05310,HTIA_RS05310,HTIA_1072,-,I,-,mannonate dehydratase,protein-coding,-,-,-,mannonate dehydratase,20210312,-
1033806,23800370,HTIA_RS05305,HTIA_RS05305,HTIA_1071,-,I,-,SDR family oxidoreductase,protein-coding,-,-,-,SDR family oxidoreductase,20210312,-
1033806,23800371,HTIA_RS05300,HTIA_RS05300,HTIA_1070,-,I,-,sugar kinase,protein-coding,-,-,-,sugar kinase,20210312,-
1033806,23800372,HTIA_RS05295,HTIA_RS05295,HTIA_1069,-,I,-,MBL fold metallo-hydrolase,protein-coding,-,-,-,MBL fold metallo-hydrolase,20210312,-
1033806,23800373,HTIA_RS05290,HTIA_RS05290,-,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23800374,HTIA_RS05285,HTIA_RS05285,HTIA_1068,-,I,-,MFS transporter,protein-coding,-,-,-,MFS transporter,20210312,-
1033806,23800375,HTIA_RS05280,HTIA_RS05280,HTIA_1067,-,I,-,beta galactosidase jelly roll domain-containing protein,protein-coding,-,-,-,beta galactosidase jelly roll domain-containing protein,20210312,-
1033806,23800376,HTIA_RS05275,HTIA_RS05275,HTIA_1066,-,I,-,universal stress protein,protein-coding,-,-,-,universal stress protein,20210312,-
1033806,23800377,HTIA_RS05270,HTIA_RS05270,HTIA_1065,-,I,-,BtpA/SgcQ family protein,protein-coding,-,-,-,BtpA/SgcQ family protein,20210312,-
1033806,23800378,HTIA_RS05265,HTIA_RS05265,HTIA_1064,-,I,-,carbohydrate kinase family protein,protein-coding,-,-,-,carbohydrate kinase family protein,20210312,-
1033806,23800379,HTIA_RS05260,HTIA_RS05260,HTIA_1063,-,I,-,chromosome segregation protein SMC,protein-coding,-,-,-,chromosome segregation protein SMC,20210312,-
1033806,23800380,HTIA_RS05255,HTIA_RS05255,HTIA_1062,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23800381,HTIA_RS05250,HTIA_RS05250,HTIA_1061,-,I,-,TrmB family transcriptional regulator,protein-coding,-,-,-,TrmB family transcriptional regulator,20210312,-
1033806,23800383,HTIA_RS05240,HTIA_RS05240,HTIA_1058,-,I,-,GH32 C-terminal domain-containing protein,protein-coding,-,-,-,GH32 C-terminal domain-containing protein,20210312,-
1033806,23800384,HTIA_RS05235,HTIA_RS05235,HTIA_1057,-,I,-,ABC transporter substrate-binding protein,protein-coding,-,-,-,ABC transporter substrate-binding protein,20210312,-
1033806,23800386,HTIA_RS05225,HTIA_RS05225,HTIA_1056,-,I,-,transposase,protein-coding,-,-,-,transposase,20210312,-
1033806,23800387,HTIA_RS05220,HTIA_RS05220,HTIA_1054,-,I,-,ISH3 family transposase,protein-coding,-,-,-,ISH3 family transposase,20210312,-
1033806,23800388,HTIA_RS05215,HTIA_RS05215,-,-,I,-,ABC transporter permease,protein-coding,-,-,-,ABC transporter permease,20210312,-
1033806,23800389,HTIA_RS05210,HTIA_RS05210,HTIA_1053,-,I,-,ABC transporter permease subunit,protein-coding,-,-,-,ABC transporter permease subunit,20210605,-
1033806,23800390,HTIA_RS05205,HTIA_RS05205,HTIA_1052,-,I,-,ABC transporter ATP-binding protein,protein-coding,-,-,-,ABC transporter ATP-binding protein,20210312,-
1033806,23800391,HTIA_RS05200,HTIA_RS05200,HTIA_1051,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23800392,HTIA_RS05195,HTIA_RS05195,HTIA_1050,-,I,-,N-acylglucosamine 2-epimerase,protein-coding,-,-,-,N-acylglucosamine 2-epimerase,20210312,-
1033806,23800393,HTIA_RS05190,HTIA_RS05190,HTIA_1048,-,I,-,carbohydrate kinase,protein-coding,-,-,-,carbohydrate kinase,20210312,-
1033806,23800394,HTIA_RS05185,HTIA_RS05185,-,-,I,-,pseudo,pseudo,-,-,-,-,20210312,-
1033806,23800395,araA,HTIA_RS05180,HTIA_1046,-,I,-,L-arabinose isomerase,protein-coding,-,-,-,L-arabinose isomerase,20210312,-
1033806,23800396,HTIA_RS05175,HTIA_RS05175,HTIA_1045,-,I,-,glycoside hydrolase family 97 protein,protein-coding,-,-,-,glycoside hydrolase family 97 protein,20210312,-
1033806,23800397,HTIA_RS05170,HTIA_RS05170,HTIA_1044,-,I,-,alpha-N-arabinofuranosidase,protein-coding,-,-,-,alpha-N-arabinofuranosidase,20210312,-
1033806,23800398,HTIA_RS05165,HTIA_RS05165,HTIA_1043,-,I,-,glycoside hydrolase family 127 protein,protein-coding,-,-,-,glycoside hydrolase family 127 protein,20210312,-
1033806,23800399,HTIA_RS05160,HTIA_RS05160,HTIA_1042,-,I,-,FGGY-family carbohydrate kinase,protein-coding,-,-,-,FGGY-family carbohydrate kinase,20210312,-
1033806,23800400,HTIA_RS05155,HTIA_RS05155,HTIA_1041,-,I,-,class II aldolase/adducin family protein,protein-coding,-,-,-,class II aldolase/adducin family protein,20210312,-
1033806,23800401,HTIA_RS05150,HTIA_RS05150,HTIA_1040,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23800402,HTIA_RS05145,HTIA_RS05145,HTIA_1039,-,I,-,HAD family hydrolase,protein-coding,-,-,-,HAD family hydrolase,20210312,-
1033806,23800403,HTIA_RS05140,HTIA_RS05140,HTIA_1038,-,I,-,methenyltetrahydromethanopterin cyclohydrolase,protein-coding,-,-,-,methenyltetrahydromethanopterin cyclohydrolase,20210312,-
1033806,23800404,HTIA_RS05135,HTIA_RS05135,HTIA_1037,-,I,-,thiamine-binding protein,protein-coding,-,-,-,thiamine-binding protein,20210312,-
1033806,23800405,HTIA_RS05130,HTIA_RS05130,HTIA_1036,-,I,-,DUF5615 family PIN-like protein,protein-coding,-,-,-,DUF5615 family PIN-like protein,20210312,-
1033806,23800406,HTIA_RS05125,HTIA_RS05125,HTIA_1035,-,I,-,DUF433 domain-containing protein,protein-coding,-,-,-,DUF433 domain-containing protein,20210312,-
1033806,23800407,HTIA_RS05120,HTIA_RS05120,HTIA_1034,-,I,-,UDP-glucose/GDP-mannose dehydrogenase family protein,protein-coding,-,-,-,UDP-glucose/GDP-mannose dehydrogenase family protein,20210312,-
1033806,23800408,HTIA_RS05115,HTIA_RS05115,HTIA_1033,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23800409,HTIA_RS05110,HTIA_RS05110,HTIA_1030,-,I,-,sugar nucleotidyltransferase,protein-coding,-,-,-,sugar nucleotidyltransferase,20210312,-
1033806,23800410,HTIA_RS05105,HTIA_RS05105,HTIA_1029,-,I,-,"GDP-mannose 4,6-dehydratase",protein-coding,-,-,-,"GDP-mannose 4,6-dehydratase",20210312,-
1033806,23800411,hcp,HTIA_RS05100,HTIA_1028|priS,-,I,-,hydroxylamine reductase,protein-coding,-,-,-,hydroxylamine reductase,20210312,-
1033806,23800412,HTIA_RS05095,HTIA_RS05095,HTIA_1027,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23800413,HTIA_RS05090,HTIA_RS05090,HTIA_1026,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23800415,HTIA_RS05080,HTIA_RS05080,HTIA_1024,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23800416,HTIA_RS05075,HTIA_RS05075,HTIA_1023,-,I,-,MarR family transcriptional regulator,protein-coding,-,-,-,MarR family transcriptional regulator,20210312,-
1033806,23800417,HTIA_RS05070,HTIA_RS05070,HTIA_1021,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23800418,HTIA_RS05065,HTIA_RS05065,HTIA_1020,-,I,-,IS4-like element ISHti4 family transposase,protein-coding,-,-,-,IS4-like element ISHti4 family transposase,20210312,-
1033806,23800419,HTIA_RS05060,HTIA_RS05060,HTIA_1019,-,I,-,transposase,protein-coding,-,-,-,transposase,20210312,-
1033806,23800420,HTIA_RS05055,HTIA_RS05055,HTIA_1018,-,I,-,N-acetyltransferase,protein-coding,-,-,-,N-acetyltransferase,20210312,-
1033806,23800421,HTIA_RS05050,HTIA_RS05050,HTIA_1017,-,I,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20210312,-
1033806,23800422,HTIA_RS05045,HTIA_RS05045,HTIA_1016,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23800423,HTIA_RS05040,HTIA_RS05040,-,-,I,-,tRNA,tRNA,-,-,-,-,20210312,-
1033806,23800424,HTIA_RS05035,HTIA_RS05035,HTIA_1014,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23800425,HTIA_RS05030,HTIA_RS05030,HTIA_1013,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23800428,HTIA_RS05015,HTIA_RS05015,HTIA_1010,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23800429,HTIA_RS05010,HTIA_RS05010,HTIA_1009,-,I,-,RNA-splicing ligase RtcB,protein-coding,-,-,-,RNA-splicing ligase RtcB,20210312,-
1033806,23800430,HTIA_RS05005,HTIA_RS05005,HTIA_1008,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23800431,HTIA_RS05000,HTIA_RS05000,-,-,I,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20210312,-
1033806,23800432,HTIA_RS04995,HTIA_RS04995,HTIA_1006,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23800433,HTIA_RS04990,HTIA_RS04990,HTIA_1005,-,I,-,type II toxin-antitoxin system VapC family toxin,protein-coding,-,-,-,type II toxin-antitoxin system VapC family toxin,20210312,-
1033806,23800434,HTIA_RS04985,HTIA_RS04985,HTIA_1004,-,I,-,transposase,protein-coding,-,-,-,transposase,20210312,-
1033806,23800435,HTIA_RS04980,HTIA_RS04980,HTIA_1003,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23800436,HTIA_RS04975,HTIA_RS04975,HTIA_1002,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23800437,HTIA_RS04970,HTIA_RS04970,HTIA_1001,-,I,-,DUF5615 family PIN-like protein,protein-coding,-,-,-,DUF5615 family PIN-like protein,20210312,-
1033806,23800438,HTIA_RS04965,HTIA_RS04965,HTIA_1000,-,I,-,DUF433 domain-containing protein,protein-coding,-,-,-,DUF433 domain-containing protein,20210312,-
1033806,23800439,HTIA_RS04960,HTIA_RS04960,HTIA_0999,-,I,-,glycosyltransferase family 4 protein,protein-coding,-,-,-,glycosyltransferase family 4 protein,20210312,-
1033806,23800440,HTIA_RS04955,HTIA_RS04955,HTIA_0998,-,I,-,AAA family ATPase,protein-coding,-,-,-,AAA family ATPase,20210312,-
1033806,23800441,HTIA_RS04950,HTIA_RS04950,HTIA_0997,-,I,-,ABC transporter ATP-binding protein,protein-coding,-,-,-,ABC transporter ATP-binding protein,20210312,-
